"","subsector","species","month","international_waters","tons"
"129","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","FEB",0,1
"130","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","FEB",1,NA
"131","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","JUL",0,5
"132","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","JUL",1,NA
"133","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","JUN",0,7.33333333333333
"134","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","JUN",1,NA
"135","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","MAR",0,1.25
"136","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","MAR",1,NA
"137","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","MAY",0,10.75
"138","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","MAY",1,NA
"139","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","NOV",0,2
"140","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","NOV",1,NA
"141","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","OCT",0,2
"142","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","OCT",1,NA
"143","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","SEP",0,1.75
"144","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","SEP",1,1
"145","artisanal","ATUN ALETA LARGA","ABR",0,3
"146","artisanal","ATUN ALETA LARGA","AGO",0,2.5
"147","artisanal","ATUN ALETA LARGA","DIC",0,NA
"148","artisanal","ATUN ALETA LARGA","ENE",0,NA
"149","artisanal","ATUN ALETA LARGA","FEB",0,5
"150","artisanal","ATUN ALETA LARGA","JUL",0,1
"151","artisanal","ATUN ALETA LARGA","JUN",0,1
"152","artisanal","ATUN ALETA LARGA","MAR",0,4
"153","artisanal","ATUN ALETA LARGA","MAY",0,2.5
"154","artisanal","ATUN ALETA LARGA","NOV",0,NA
"155","artisanal","ATUN ALETA LARGA","OCT",0,NA
"156","artisanal","ATUN ALETA LARGA","SEP",0,2
"157","artisanal","ATUN CHAUCHERA","ABR",0,1
"158","artisanal","ATUN CHAUCHERA","AGO",0,5.66666666666667
"159","artisanal","ATUN CHAUCHERA","DIC",0,NA
"160","artisanal","ATUN CHAUCHERA","ENE",0,NA
"161","artisanal","ATUN CHAUCHERA","FEB",0,1
"162","artisanal","ATUN CHAUCHERA","JUL",0,1
"163","artisanal","ATUN CHAUCHERA","JUN",0,2
"164","artisanal","ATUN CHAUCHERA","MAR",0,NA
"165","artisanal","ATUN CHAUCHERA","MAY",0,NA
"166","artisanal","ATUN CHAUCHERA","NOV",0,NA
"167","artisanal","ATUN CHAUCHERA","OCT",0,NA
"168","artisanal","ATUN CHAUCHERA","SEP",0,2.66666666666667
"169","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","ABR",0,1
"170","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","AGO",0,NA
"171","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","DIC",0,NA
"172","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","ENE",0,NA
"173","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","FEB",0,NA
"174","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","JUL",0,NA
"175","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","JUN",0,NA
"176","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","MAR",0,1.5
"177","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","MAY",0,NA
"178","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","NOV",0,NA
"179","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","OCT",0,NA
"180","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","SEP",0,NA
"181","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","ABR",0,1
"182","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","AGO",0,1
"183","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","DIC",0,NA
"184","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","ENE",0,NA
"185","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","FEB",0,4
"186","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","JUL",0,4
"187","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","JUN",0,1.5
"188","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","MAR",0,5
"189","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","MAY",0,1.33333333333333
"190","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","NOV",0,NA
"191","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","OCT",0,NA
"192","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","SEP",0,1
"193","artisanal","AZULEJO","ABR",0,11.5
"194","artisanal","AZULEJO","ABR",1,5
"195","artisanal","AZULEJO","AGO",0,10.25
"196","artisanal","AZULEJO","AGO",1,8
"197","artisanal","AZULEJO","DIC",0,13.75
"198","artisanal","AZULEJO","DIC",1,NA
"199","artisanal","AZULEJO","ENE",0,14.75
"200","artisanal","AZULEJO","ENE",1,NA
"201","artisanal","AZULEJO","FEB",0,9.75
"202","artisanal","AZULEJO","FEB",1,5
"203","artisanal","AZULEJO","JUL",0,6.75
"204","artisanal","AZULEJO","JUL",1,1
"205","artisanal","AZULEJO","JUN",0,13.5
"206","artisanal","AZULEJO","JUN",1,3
"207","artisanal","AZULEJO","MAR",0,8.5
"208","artisanal","AZULEJO","MAR",1,NA
"209","artisanal","AZULEJO","MAY",0,8
"210","artisanal","AZULEJO","MAY",1,2
"211","artisanal","AZULEJO","NOV",0,20.25
"212","artisanal","AZULEJO","NOV",1,7
"213","artisanal","AZULEJO","OCT",0,11.75
"214","artisanal","AZULEJO","OCT",1,NA
"215","artisanal","AZULEJO","SEP",0,10.25
"216","artisanal","AZULEJO","SEP",1,6
"217","artisanal","BACALADILLO O MOTE","ABR",0,7779
"218","artisanal","BACALADILLO O MOTE","AGO",0,144.666666666667
"219","artisanal","BACALADILLO O MOTE","DIC",0,1713.25
"220","artisanal","BACALADILLO O MOTE","ENE",0,35.5
"221","artisanal","BACALADILLO O MOTE","FEB",0,1772.75
"222","artisanal","BACALADILLO O MOTE","JUL",0,1190.25
"223","artisanal","BACALADILLO O MOTE","JUN",0,1534
"224","artisanal","BACALADILLO O MOTE","MAR",0,12794
"225","artisanal","BACALADILLO O MOTE","MAY",0,8139
"226","artisanal","BACALADILLO O MOTE","NOV",0,2854.75
"227","artisanal","BACALADILLO O MOTE","OCT",0,844.5
"228","artisanal","BACALADILLO O MOTE","SEP",0,237.5
"229","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","ABR",0,NA
"230","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","AGO",0,NA
"231","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","DIC",0,NA
"232","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","ENE",0,NA
"233","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","FEB",0,NA
"234","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","JUL",0,1
"235","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","JUN",0,1
"236","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","MAR",0,1
"237","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","MAY",0,3
"238","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","NOV",0,NA
"239","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","OCT",0,NA
"240","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","SEP",0,NA
"241","artisanal","BACALAO DE PROFUNDIDAD","ABR",0,172.75
"242","artisanal","BACALAO DE PROFUNDIDAD","AGO",0,7.5
"243","artisanal","BACALAO DE PROFUNDIDAD","DIC",0,73.5
"244","artisanal","BACALAO DE PROFUNDIDAD","ENE",0,119.5
"245","artisanal","BACALAO DE PROFUNDIDAD","FEB",0,269.75
"246","artisanal","BACALAO DE PROFUNDIDAD","JUL",0,62.5
"247","artisanal","BACALAO DE PROFUNDIDAD","JUN",0,32.5
"248","artisanal","BACALAO DE PROFUNDIDAD","MAR",0,350
"249","artisanal","BACALAO DE PROFUNDIDAD","MAY",0,70.75
"250","artisanal","BACALAO DE PROFUNDIDAD","NOV",0,200.75
"251","artisanal","BACALAO DE PROFUNDIDAD","OCT",0,153.75
"252","artisanal","BACALAO DE PROFUNDIDAD","SEP",0,160.75
"253","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","ABR",0,1
"254","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","ABR",1,NA
"255","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","AGO",0,1
"256","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","AGO",1,1
"257","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","DIC",0,1.33333333333333
"258","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","DIC",1,NA
"259","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","ENE",0,1
"260","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","ENE",1,NA
"261","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","FEB",0,NA
"262","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","FEB",1,NA
"263","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","JUL",0,1
"264","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","JUL",1,NA
"265","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","JUN",0,NA
"266","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","JUN",1,1
"267","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","MAR",0,5
"268","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","MAR",1,NA
"269","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","MAY",0,3
"270","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","MAY",1,3
"271","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","NOV",0,1
"272","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","NOV",1,NA
"273","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","OCT",0,1
"274","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","OCT",1,1
"275","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","SEP",0,1
"276","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","SEP",1,NA
"277","artisanal","BAGRE","ABR",0,NA
"278","artisanal","BAGRE","AGO",0,NA
"279","artisanal","BAGRE","DIC",0,NA
"280","artisanal","BAGRE","ENE",0,NA
"281","artisanal","BAGRE","FEB",0,NA
"282","artisanal","BAGRE","JUL",0,4
"283","artisanal","BAGRE","JUN",0,NA
"284","artisanal","BAGRE","MAR",0,NA
"285","artisanal","BAGRE","MAY",0,1
"286","artisanal","BAGRE","NOV",0,NA
"287","artisanal","BAGRE","OCT",0,NA
"288","artisanal","BAGRE","SEP",0,NA
"289","artisanal","BARRACUDA O PETO / KANA KANA","ABR",0,NA
"290","artisanal","BARRACUDA O PETO / KANA KANA","AGO",0,1
"291","artisanal","BARRACUDA O PETO / KANA KANA","DIC",0,NA
"292","artisanal","BARRACUDA O PETO / KANA KANA","ENE",0,NA
"293","artisanal","BARRACUDA O PETO / KANA KANA","FEB",0,NA
"294","artisanal","BARRACUDA O PETO / KANA KANA","JUL",0,1
"295","artisanal","BARRACUDA O PETO / KANA KANA","JUN",0,NA
"296","artisanal","BARRACUDA O PETO / KANA KANA","MAR",0,NA
"297","artisanal","BARRACUDA O PETO / KANA KANA","MAY",0,NA
"298","artisanal","BARRACUDA O PETO / KANA KANA","NOV",0,NA
"299","artisanal","BARRACUDA O PETO / KANA KANA","OCT",0,NA
"300","artisanal","BARRACUDA O PETO / KANA KANA","SEP",0,NA
"301","artisanal","BESUGO","ABR",0,NA
"302","artisanal","BESUGO","AGO",0,NA
"303","artisanal","BESUGO","DIC",0,NA
"304","artisanal","BESUGO","ENE",0,NA
"305","artisanal","BESUGO","FEB",0,1
"306","artisanal","BESUGO","JUL",0,NA
"307","artisanal","BESUGO","JUN",0,NA
"308","artisanal","BESUGO","MAR",0,NA
"309","artisanal","BESUGO","MAY",0,NA
"310","artisanal","BESUGO","NOV",0,NA
"311","artisanal","BESUGO","OCT",0,NA
"312","artisanal","BESUGO","SEP",0,NA
"313","artisanal","BLANQUILLO","ABR",0,1.75
"314","artisanal","BLANQUILLO","AGO",0,5.25
"315","artisanal","BLANQUILLO","DIC",0,2.5
"316","artisanal","BLANQUILLO","ENE",0,2
"317","artisanal","BLANQUILLO","FEB",0,2.25
"318","artisanal","BLANQUILLO","JUL",0,2.33333333333333
"319","artisanal","BLANQUILLO","JUN",0,4.33333333333333
"320","artisanal","BLANQUILLO","MAR",0,5
"321","artisanal","BLANQUILLO","MAY",0,1.25
"322","artisanal","BLANQUILLO","NOV",0,1.5
"323","artisanal","BLANQUILLO","OCT",0,1.66666666666667
"324","artisanal","BLANQUILLO","SEP",0,1.5
"325","artisanal","BONITO","ABR",0,10
"326","artisanal","BONITO","AGO",0,6.33333333333333
"327","artisanal","BONITO","DIC",0,6.5
"328","artisanal","BONITO","ENE",0,6.75
