"species","sc_name"
"PEJERRATA O GRANADERO","Coelorhynchus spp"
"PULPO DE JUAN FERNANDEZ","Octopus Crusoe"
"RAYA AGUILA","Myliobatis peruvianus"
"REMOREMO","Elagatis bipinnulata"
"BACALAO ANTARTICO","Dissostichus mawsoni"
"CALAMAR ILLEX O POTA DEL ATLANTICO","Illex argentinus"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"NOTOTENIA O MARUJITO","Patagonotothen ramsayi"
"POTA DEL PACIFICO","Todarodes Pacificus"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","Katsuwonus pelamis"
"BAGRE","Ameiurus melas"
"BRECA DE JUAN FERNANDEZ","Nemadactylus gayi"
"CARACOL TROPHON","Trophon geversianus"
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus"
"CUBICEPS","Cubiceps"
"ALGAS MIXTAS","Algas"
"CAROLA","Callophyllis variegata"
"HUIRO NEGRO O CHASCON","Lessonia nigrescens"
"JUREL FINO","Decapterus macrosoma"
"MATAHUIRA, KARA KARA O KRA KRA","Heteropriacanthus cruentatus"
"NANUE, NANUE PARA, PISI O PUA","Kiphosus sandwicensis "
"QUIMERA NEGRA","Hydrolagus melanophasma"
"HAEMATOCOCCUS","Haematococcus pluvialis"
"SPIRULINA","Spirulina spp."
"HALIBUT O FLETAN","Hippoglossus hippoglossus"
"LENGUADO FINO","Paralichthys adpersus"
"SALMON DEL ATLANTICO","Salmo salar"
"SALMON PLATEADO","Oncorhynchus kisutch"
"TRUCHA ARCO IRIS","Oncorhynchus mykiss"
"TURBOT","Scophtalmus maximus"
"ABALON JAPONES","Haliotis discus hannai"
"ABALON ROJO","Haliotis rufescens"
"OSTION DEL NORTE","Argopecten purpuratus"
"OSTRA DEL PACIFICO","Crassostrea gigas"
"SALMON PLATEADO O COHO","Oncorhynchus kisutch"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"JAIBA","Cancer spp."
"SALMON OTROS","Salmonidae"
"CARACOL REAL O GIGANTE O VOLUTA ANGULOSA","Zidona dufresnei"
"LUGA LUGA","Mazzaella membranacea"
"ALMEJA O TACA","Protothaca taca"
"OSTION PATAGONICO","Chlamys patagonica"
"ANCHOITA","Engraulis anchoita"
"HIRAME","Paralichthys olivaceus"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei"
