"especie_SERNAPESCA","nombre_cientifico_SERNAPESCA"
"LAPA ROSADA","Fissurella cumingi"
"LOCO","Concholepas concholepas"
"LOCO","Concholepas concholepas"
"LOCO","Concholepas concholepas"
"MACHA","Mesodesma donacium"
"MACHA","Mesodesma donacium"
"NAVAJUELA","Tagelus dombeii"
"NAVAJUELA","Tagelus dombeii"
"OSTION DEL NORTE","Argopecten purpuratus"
"OSTION DEL NORTE","Argopecten purpuratus"
"OSTION DEL NORTE","Argopecten purpuratus"
"OSTION DEL NORTE","Argopecten purpuratus"
"OSTION DEL SUR","Chlamys vitrea"
"OSTION PATAGONICO","Chlamys patagonica"
"OSTION PATAGONICO","Chlamys patagonica"
"OSTION PATAGONICO","Chlamys patagonica"
"OSTION PATAGONICO","Chlamys patagonica"
"OSTRA CHILENA","Ostrea chilensis"
"OSTRA CHILENA","Ostrea chilensis"
"OSTRA DEL PACIFICO","Crassostrea gigas"
"OSTRA DEL PACIFICO","Crassostrea gigas"
"OSTRA DEL PACIFICO","Crassostrea gigas"
"PULPO DEL NORTE","Octopus (vulgaris) mimus"
"PULPO DEL NORTE","Octopus (vulgaris) mimus"
"PULPO DEL SUR","Enteroctopus megalocyathus"
"PULPO DEL SUR","Enteroctopus megalocyathus"
"TAQUILLA","Mulinia edulis"
"TUMBAO","Semele solida"
"CAMARON NAILON","Heterocarpus reedi"
"CAMARON NAILON","Heterocarpus reedi"
"CAMARON NAILON","Heterocarpus reedi"
"CAMARON NAILON","Heterocarpus reedi"
"CAMARON NAILON","Heterocarpus reedi"
"CAMARON DE RIO DEL NORTE","Cryphiops caementarius"
"CAMARON DE RIO DEL NORTE","Cryphiops caementarius"
"CAMARON DE RIO DEL NORTE","Cryphiops caementarius"
"CAMARON DE RIO DEL NORTE","Cryphiops caementarius"
"CAMARON DE RIO DEL NORTE","Cryphiops caementarius"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei"
"CANGREJO DORADO DE J. FERNANDEZ","Chaceon chilensis"
"CENTOLLA","Lithodes santolla"
"CENTOLLA","Lithodes santolla"
"CENTOLLA","Lithodes santolla"
"CENTOLLA","Lithodes santolla"
"CENTOLLON","Paralomis granulosa"
"CENTOLLON DEL NORTE","NA"
"CENTOLLON","Paralomis granulosa"
"CENTOLLON DEL NORTE","NA"
"CENTOLLON","Paralomis granulosa"
"CENTOLLON DEL NORTE","NA"
"CENTOLLON","Paralomis granulosa"
"CENTOLLON DEL NORTE","NA"
"GAMBA","Haliporoides diomedeae"
"GAMBA","Haliporoides diomedeae"
"GAMBA","Haliporoides diomedeae"
"GAMBA","Haliporoides diomedeae"
"GAMBA","Haliporoides diomedeae"
"JAIBA","Cancer spp."
"JAIBA","Cancer spp."
"JAIBA","Cancer spp."
"JAIBA","Cancer spp."
"JAIBA","Cancer spp."
"JAIBA LIMON","Cancer porteri"
"JAIBA LIMON","Cancer porteri"
"JAIBA LIMON","Cancer porteri"
"JAIBA LIMON","Cancer porteri"
"JAIBA LIMON","Cancer porteri"
"JAIBA MARMOLA","Cancer edwardsi"
"JAIBA MARMOLA","Cancer edwardsi"
"JAIBA MARMOLA","Cancer edwardsi"
"JAIBA MARMOLA","Cancer edwardsi"
"JAIBA MARMOLA","Cancer edwardsi"
"JAIBA MORA","Homalaspis plana"
"JAIBA MORA","Homalaspis plana"
"JAIBA MORA","Homalaspis plana"
"JAIBA MORA","Homalaspis plana"
"JAIBA MORA","Homalaspis plana"
"JAIBA PACO","Mursia gaudichaudi"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus"
"JAIBA PANCORA","Hemigrapsus crenulatus"
"JAIBA PATUDA","Taliepus marginatus"
"JAIBA PELUDA O PACHONA","Cancer setosus"
"JAIBA PELUDA O PACHONA","Cancer setosus"
"JAIBA PELUDA O PACHONA","Cancer setosus"
"JAIBA PELUDA O PACHONA","Cancer setosus"
"JAIBA PELUDA O PACHONA","Cancer setosus"
"JAIBA REINA","Cancer coronatus"
"JAIBA REINA","Cancer coronatus"
"JAIBA REINA","Cancer coronatus"
"JAIBA REINA","Cancer coronatus"
"JAIBA REINA","Cancer coronatus"
"JAIBA REMADORA","Ovalipes trimaculatus"
"JAIBA REMADORA","Ovalipes trimaculatus"
"JAIBA REMADORA","Ovalipes trimaculatus"
