"species","sc_name","grupo_exportacion"
"PULPO DE JUAN FERNANDEZ","Octopus Crusoe","pulpo"
"CAMARON DE ROCA","Rhynchocinetes typus","camaron"
"LANGOSTA ENANA","Projasus bahamondei","langostas"
"PICOROCO","Austromegabalanus psittacus","NA"
"PULGA SALTARINA O GAMBITA","Gammarus sp","NA"
"ERIZO","Loxechinus albus","erizo"
"MEDUSA","Chrysaora Plocamia","medusas"
"PEPINO DE MAR","Athyonidium chilensis","pepino"
"PIURE","Pyura chilensis","NA"
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","Katsuwonus pelamis","atun"
"BAGRE","Ameiurus melas","bagre"
"BRECA DE JUAN FERNANDEZ","Nemadactylus gayi","NA"
"COCHINILLA","Navodon Paschalis","NA"
"HUAIQUIL O CORVINILLA","Micropogonias manni","NA"
"RAYA ESPINOSA","Dipturus trachyderma","rayas"
"CAMARON NAVAJA","Campylonotus semistriatus","camaron"
"ALGAS MIXTAS",NA,"algas"
"CAROLA","Callophyllis variegata","algas"
"JUREL FINO","Decapterus macrosoma","jurel"
"MATAHUIRA, KARA KARA O KRA KRA","Heteropriacanthus cruentatus","NA"
"NANUE, NANUE PARA, PISI O PUA","Kiphosus sandwicensis / Kiphosus bigibbus","NA"
"QUIMERA NEGRA","NA","NA"
"MERLUZA DE TRES ALETAS","Micromesistius australis","merluza"
"LENGUADO DE OJOS GRANDES","Hippoglossina macrops","lenguados"
"CENTOLLA DEL NORTE","Lithodes spp.","centolla"
"GRANADERO GRANDE","Macrourus holotrachys","varios_pescados"
"PEJERRATA","Coelorhynchus chilensis","varios_pescados"
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus","varios_pescados"
"DRACO RAYADO","Champsocephalus gunnari","draco_rayado"
"KRILL","Euphasia superba","NA"
"RAYA AGUILA","Myliobatis peruvianus","rayas"
"BACALAO ANTARTICO","Dissostichus mawsoni","bacalado_profundo"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi","merluza"
"NOTOTENIA O MARUJITO","Patagonotothen ramsayi","NA"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata","rayas"
"CALAMAR ILLEX O POTA DEL ATLANTICO","Illex argentinus","calamar"
"POTA DEL PACIFICO","Todarodes Pacificus","calamar"
"CUBICEPS","Cubiceps","NA"
"Cotoni","Eucheuma cottonii","NA"
"Enteromorpha","Enteromorpha sp.","NA"
"Luga luga","Mazzaella membranacea","algas"
"Spirulina","Spirulina spp.","algas"
"Alfonsino","Beryx splendens","alfonsino"
"Anchoita","Engraulis anchoita","anchoas"
"Ayanque","Cynoscion analis","NA"
"Bagre de agua dulce","Ictalurus punctatus","NA"
"Barrilete negro","Auxis spp.","NA"
"Esturion de Siberia","Acipencer baerii","esturiones"
"Halibut o Fletan","Hippoglossus hippoglossus","fletanes"
"Hirame","Paralichthys olivaceus","hirame"
"Orange roughy","Hoplostethus atlanticus","orange_roughy"
"Pez rubio","Emmelichthys nitidus","NA"
"Ruhi","Caranx lugubris","NA"
"Salmon Artico","Salvelinus alpinus","NA"
"Salmon del Atlantico","Salmo salar","salmones"
"Salmon keta","Oncorhynchus keta","salmones"
"Salmon plateado, coho o del Pacifico","Oncorhynchus kisutch","salmones"
"Caracol piquilhue","Adelomelon ancilla","caracol"
"Chiton o Apretador","Chiton spp.","NA"
"salmon otros","NA","salmones"
NA,NA,"salmones"
