species,sc_name,species_en,category,reference,mean_yield
RAYA MOTEADA O NEGRA,Sympterygia brevicaudata,Shorttail fanskate,,Rays,0.5
ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU,Katsuwonus pelamis,Skipjack tuna,,,0.475
BAGRE,Ameiurus melas,Black bullhead,medium fish,,0.5
BRECA DE JUAN FERNANDEZ,Nemadactylus gayi,Breca,,Peruvian morwong,0.5
CARACOL TROPHON,Trophon geversianus,Gevers's trophon,,Sea snails,0.2
PEJERRATA O GRANADERO ESCAMOSO,Macrourus carinatus,Ridge scaled rattail,medium fish,,0.5
CUBICEPS,Cubiceps,Driftfish,small fish,,0.5
ALGAS MIXTAS,Algas,Algaes,algae,Dry ,0.75
CAROLA,Callophyllis variegata,Carola,algae,Dry ,0.75
HUIRO NEGRO O CHASCON,Lessonia nigrescens,Giant grey kelp,algae,Dry ,0.75
JUREL FINO,Decapterus macrosoma,Shortfin scad,,,0.5
MATAHUIRA, KARA KARA O KRA KRA,Heteropriacanthus cruentatus,Glasseye,small fish,,0.5
NANUE, NANUE PARA, PISI O PUA,Kiphosus sandwicensis ,Pacific chub,small fish,,0.5
QUIMERA NEGRA,Hydrolagus melanophasma,Eastern Pacific Black Ghostshark,,Ophichthus remiger,0.4
HAEMATOCOCCUS,Haematococcus pluvialis,Haematococcus,algae,Dry ,0.75
SPIRULINA,Spirulina spp.,Spirulina,algae,Dry ,0.75
HALIBUT O FLETAN,Hippoglossus hippoglossus,Atlantic halibut,medium fish,,0.5
LENGUADO FINO,Paralichthys adpersus,Fine flounder,Medium fish,,0.5
SALMON DEL ATLANTICO,Salmo salar,Atlantic salmon,Salmon,,0.5
SALMON PLATEADO,Oncorhynchus kisutch,Coho salmon,Salmon,,0.5
TRUCHA ARCO IRIS,Oncorhynchus mykiss,Rainbow trout,,Oncorhynchus mykiss fillete,0.5
TURBOT,Scophtalmus maximus,Turbot,medium fish,,0.5
ABALON JAPONES,Haliotis discus hannai,Japanese abalone,,Chilean abalone,0.225
ABALON ROJO,Haliotis rufescens,Red Abalone,,Chilean abalone,0.225
OSTION DEL NORTE,Argopecten purpuratus,Peruvian calico scallop,,,0.15
OSTRA DEL PACIFICO,Crassostrea gigas,Pacifuc Oyster,,Gari solida,0.225
SALMON PLATEADO O COHO,Oncorhynchus kisutch,Coho salmon,Salmon,,0.5
TRUCHA ARCOIRIS,Oncorhynchus mykiss,Rainbow trout,,Oncorhynchus mykiss fillete,0.5
JAIBA,Cancer spp.,Crab,,Crabs,0.225
SALMON OTROS,Salmonidae,Salmon,Salmon,,0.5
CARACOL REAL O GIGANTE O VOLUTA ANGULOSA,Zidona dufresnei,Giant snail,,Sea snails,0.2
LUGA LUGA,Mazzaella membranacea,Luga,algae,Dry ,0.75
ALMEJA O TACA,Protothaca taca,Taca clam,,Gari solida,0.225
OSTION PATAGONICO,Chlamys patagonica,Patagonian scallop,,Peruvian calico scallop,0.15
ANCHOITA,Engraulis anchoita,Argentine anchovy,small fish,,0.5
HIRAME,Paralichthys olivaceus,Bastard halibut,medium fish,,0.5
CAMARON ECUATORIANO O PENAEUE,Penaeus vannamei,Whiteleg shrimp,,Changallo shrimp,0.2
