"","subsector","species","region","international_waters","tons"
"149","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IV",1,NA
"150","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",0,NA
"151","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",1,NA
"152","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","R.M.",1,NA
"153","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",0,17.2
"154","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",1,NA
"155","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",0,NA
"156","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",1,NA
"157","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",0,1
"158","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",1,NA
"159","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",0,6.4
"160","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",1,1
"161","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",0,NA
"162","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",1,NA
"163","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",0,NA
"164","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",1,NA
"165","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",0,NA
"166","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",1,NA
"167","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",0,NA
"168","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",1,NA
"169","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",0,NA
"170","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",1,NA
"171","artisanal","ATUN ALETA LARGA","I",0,NA
"172","artisanal","ATUN ALETA LARGA","II",0,NA
"173","artisanal","ATUN ALETA LARGA","III",0,NA
"174","artisanal","ATUN ALETA LARGA","IV",0,2.33333333333333
"175","artisanal","ATUN ALETA LARGA","IX",0,NA
"176","artisanal","ATUN ALETA LARGA","V",0,1.2
"177","artisanal","ATUN ALETA LARGA","VI",0,NA
"178","artisanal","ATUN ALETA LARGA","VII",0,9
"179","artisanal","ATUN ALETA LARGA","VIII",0,5.33333333333333
"180","artisanal","ATUN ALETA LARGA","X",0,NA
"181","artisanal","ATUN ALETA LARGA","XI",0,NA
"182","artisanal","ATUN ALETA LARGA","XII",0,NA
"183","artisanal","ATUN ALETA LARGA","XIV",0,1
"184","artisanal","ATUN ALETA LARGA","XV",0,NA
"185","artisanal","ATUN CHAUCHERA","I",0,NA
"186","artisanal","ATUN CHAUCHERA","II",0,NA
"187","artisanal","ATUN CHAUCHERA","III",0,NA
"188","artisanal","ATUN CHAUCHERA","IV",0,3
"189","artisanal","ATUN CHAUCHERA","IX",0,NA
"190","artisanal","ATUN CHAUCHERA","V",0,1.5
"191","artisanal","ATUN CHAUCHERA","VI",0,NA
"192","artisanal","ATUN CHAUCHERA","VII",0,1
"193","artisanal","ATUN CHAUCHERA","VIII",0,4.5
"194","artisanal","ATUN CHAUCHERA","X",0,NA
"195","artisanal","ATUN CHAUCHERA","XI",0,NA
"196","artisanal","ATUN CHAUCHERA","XII",0,NA
"197","artisanal","ATUN CHAUCHERA","XIV",0,NA
"198","artisanal","ATUN CHAUCHERA","XV",0,NA
"199","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","I",0,NA
"200","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","II",0,NA
"201","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","III",0,NA
"202","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","IV",0,2
"203","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","IX",0,NA
"204","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","V",0,3
"205","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","VI",0,NA
"206","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","VII",0,NA
"207","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","VIII",0,NA
"208","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","X",0,NA
"209","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XI",0,NA
"210","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XII",0,NA
"211","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XIV",0,NA
"212","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XV",0,NA
"213","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","I",0,NA
"214","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","II",0,NA
"215","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","III",0,NA
"216","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","IV",0,3.5
"217","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","IX",0,NA
"218","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","V",0,4
"219","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","VI",0,NA
"220","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","VII",0,9
"221","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","VIII",0,2
"222","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","X",0,NA
"223","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XI",0,NA
"224","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XII",0,NA
"225","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XIV",0,NA
"226","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XV",0,NA
"227","artisanal","AZULEJO","I",0,79.6
"228","artisanal","AZULEJO","I",1,NA
"229","artisanal","AZULEJO","II",0,11.2
"230","artisanal","AZULEJO","II",1,NA
"231","artisanal","AZULEJO","III",0,2.25
"232","artisanal","AZULEJO","III",1,NA
"233","artisanal","AZULEJO","IV",0,15.8
"234","artisanal","AZULEJO","IV",1,37
"235","artisanal","AZULEJO","IX",0,NA
"236","artisanal","AZULEJO","IX",1,NA
"237","artisanal","AZULEJO","V",0,3.66666666666667
"238","artisanal","AZULEJO","V",1,NA
"239","artisanal","AZULEJO","VI",0,1
"240","artisanal","AZULEJO","VI",1,NA
"241","artisanal","AZULEJO","VII",0,4
"242","artisanal","AZULEJO","VII",1,NA
"243","artisanal","AZULEJO","VIII",0,1
"244","artisanal","AZULEJO","VIII",1,NA
"245","artisanal","AZULEJO","X",0,NA
"246","artisanal","AZULEJO","X",1,NA
"247","artisanal","AZULEJO","XI",0,NA
"248","artisanal","AZULEJO","XI",1,NA
"249","artisanal","AZULEJO","XII",0,NA
"250","artisanal","AZULEJO","XII",1,NA
"251","artisanal","AZULEJO","XIV",0,NA
"252","artisanal","AZULEJO","XIV",1,NA
"253","artisanal","AZULEJO","XV",0,36.2
"254","artisanal","AZULEJO","XV",1,NA
"255","artisanal","BACALADILLO O MOTE","I",0,1
"256","artisanal","BACALADILLO O MOTE","II",0,16
"257","artisanal","BACALADILLO O MOTE","III",0,547.333333333333
"258","artisanal","BACALADILLO O MOTE","IV",0,192.75
"259","artisanal","BACALADILLO O MOTE","IX",0,NA
"260","artisanal","BACALADILLO O MOTE","V",0,1
"261","artisanal","BACALADILLO O MOTE","VI",0,NA
"262","artisanal","BACALADILLO O MOTE","VII",0,NA
"263","artisanal","BACALADILLO O MOTE","VIII",0,32685.8
"264","artisanal","BACALADILLO O MOTE","X",0,376.4
"265","artisanal","BACALADILLO O MOTE","XI",0,NA
"266","artisanal","BACALADILLO O MOTE","XII",0,NA
"267","artisanal","BACALADILLO O MOTE","XIV",0,2376.4
"268","artisanal","BACALADILLO O MOTE","XV",0,2
"269","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","I",0,NA
"270","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","II",0,NA
"271","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","III",0,NA
"272","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","IV",0,NA
"273","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","IX",0,NA
"274","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","V",0,3.66666666666667
"275","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","VI",0,NA
"276","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","VII",0,NA
"277","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","VIII",0,NA
"278","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","X",0,NA
"279","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XI",0,NA
"280","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XII",0,NA
"281","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XIV",0,NA
"282","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XV",0,NA
"283","artisanal","BACALAO DE PROFUNDIDAD","I",0,59
"284","artisanal","BACALAO DE PROFUNDIDAD","II",0,19.75
"285","artisanal","BACALAO DE PROFUNDIDAD","III",0,62.6
"286","artisanal","BACALAO DE PROFUNDIDAD","IV",0,31.8
"287","artisanal","BACALAO DE PROFUNDIDAD","IX",0,NA
"288","artisanal","BACALAO DE PROFUNDIDAD","V",0,87.4
"289","artisanal","BACALAO DE PROFUNDIDAD","VI",0,NA
"290","artisanal","BACALAO DE PROFUNDIDAD","VII",0,119.2
"291","artisanal","BACALAO DE PROFUNDIDAD","VIII",0,260.4
"292","artisanal","BACALAO DE PROFUNDIDAD","X",0,654.8
"293","artisanal","BACALAO DE PROFUNDIDAD","XI",0,NA
"294","artisanal","BACALAO DE PROFUNDIDAD","XII",0,40.25
"295","artisanal","BACALAO DE PROFUNDIDAD","XIV",0,297.4
