"region","tons","product","year","species"
"VII","0","oil",2013,"JUREL"
"VII","0","oil",2013,"MACHUELO O TRITRE"
"VII","0","oil",2013,"MACHUELO O TRITRE"
"VII","0","oil",2013,"MERLUZA DE COLA"
"VII","0","oil",2013,"MERLUZA DE COLA"
"VII","0","oil",2013,"PAMPANITO"
"VII","0","oil",2013,"PAMPANITO"
"VII","0","oil",2013,"PESCADO NO CLASIFICADO"
"VII","0","oil",2013,"PESCADO NO CLASIFICADO"
"VII","0","oil",2013,"SARDINA AUSTRAL"
"VII","0","oil",2013,"SARDINA AUSTRAL"
"VII","0","oil",2013,"SARDINA COMUN"
"VII","0","oil",2013,"SARDINA COMUN"
"VII","0","oil",2013,"JIBIA O CALAMAR ROJO"
"VII","0","oil",2013,"JIBIA O CALAMAR ROJO"
"VIII","0","oil",2013,"AGUJILLA"
"VIII","0","oil",2013,"AGUJILLA"
"VIII","0","oil",2013,"ANCHOVETA"
"VIII","2378","oil",2013,"ANCHOVETA"
"VIII","0","oil",2013,"BACALADILLO O MOTE"
"VIII","1724","oil",2013,"BACALADILLO O MOTE"
"VIII","0","oil",2013,"CABALLA"
"VIII","309","oil",2013,"CABALLA"
"VIII","0","oil",2013,"JUREL"
"VIII","1615","oil",2013,"JUREL"
"VIII","0","oil",2013,"MACHUELO O TRITRE"
"VIII","142","oil",2013,"MACHUELO O TRITRE"
"VIII","0","oil",2013,"MERLUZA DE COLA"
"VIII","129","oil",2013,"MERLUZA DE COLA"
"VIII","0","oil",2013,"PAMPANITO"
"VIII","65","oil",2013,"PAMPANITO"
"VIII","0","oil",2013,"PESCADO NO CLASIFICADO"
"VIII","3","oil",2013,"PESCADO NO CLASIFICADO"
"VIII","0","oil",2013,"SARDINA AUSTRAL"
"VIII","0","oil",2013,"SARDINA AUSTRAL"
"VIII","0","oil",2013,"SARDINA COMUN"
"VIII","12079","oil",2013,"SARDINA COMUN"
"VIII","0","oil",2013,"JIBIA O CALAMAR ROJO"
"VIII","76","oil",2013,"JIBIA O CALAMAR ROJO"
"IX","0","oil",2013,"AGUJILLA"
"IX","0","oil",2013,"AGUJILLA"
"IX","0","oil",2013,"ANCHOVETA"
"IX","0","oil",2013,"ANCHOVETA"
"IX","0","oil",2013,"BACALADILLO O MOTE"
"IX","0","oil",2013,"BACALADILLO O MOTE"
"IX","0","oil",2013,"CABALLA"
"IX","0","oil",2013,"CABALLA"
"IX","0","oil",2013,"JUREL"
"IX","0","oil",2013,"JUREL"
"IX","0","oil",2013,"MACHUELO O TRITRE"
"IX","0","oil",2013,"MACHUELO O TRITRE"
"IX","0","oil",2013,"MERLUZA DE COLA"
"IX","0","oil",2013,"MERLUZA DE COLA"
"IX","0","oil",2013,"PAMPANITO"
"IX","0","oil",2013,"PAMPANITO"
"IX","0","oil",2013,"PESCADO NO CLASIFICADO"
"IX","0","oil",2013,"PESCADO NO CLASIFICADO"
"IX","0","oil",2013,"SARDINA AUSTRAL"
"IX","0","oil",2013,"SARDINA AUSTRAL"
"IX","0","oil",2013,"SARDINA COMUN"
"IX","0","oil",2013,"SARDINA COMUN"
"IX","0","oil",2013,"JIBIA O CALAMAR ROJO"
"IX","0","oil",2013,"JIBIA O CALAMAR ROJO"
"XIV","0","oil",2013,"AGUJILLA"
"XIV","0","oil",2013,"AGUJILLA"
"XIV","0","oil",2013,"ANCHOVETA"
"XIV","284","oil",2013,"ANCHOVETA"
"XIV","0","oil",2013,"BACALADILLO O MOTE"
"XIV","619","oil",2013,"BACALADILLO O MOTE"
"XIV","0","oil",2013,"CABALLA"
"XIV","0","oil",2013,"CABALLA"
"XIV","0","oil",2013,"JUREL"
"XIV","0","oil",2013,"JUREL"
"XIV","0","oil",2013,"MACHUELO O TRITRE"
"XIV","0","oil",2013,"MACHUELO O TRITRE"
"XIV","0","oil",2013,"MERLUZA DE COLA"
"XIV","0","oil",2013,"MERLUZA DE COLA"
"XIV","0","oil",2013,"PAMPANITO"
"XIV","57","oil",2013,"PAMPANITO"
"XIV","0","oil",2013,"PESCADO NO CLASIFICADO"
"XIV","0","oil",2013,"PESCADO NO CLASIFICADO"
"XIV","0","oil",2013,"SARDINA AUSTRAL"
"XIV","0","oil",2013,"SARDINA AUSTRAL"
"XIV","0","oil",2013,"SARDINA COMUN"
"XIV","4454","oil",2013,"SARDINA COMUN"
"XIV","0","oil",2013,"JIBIA O CALAMAR ROJO"
"XIV","0","oil",2013,"JIBIA O CALAMAR ROJO"
