"species","region","tons","product","year"
"NAVAJUELA","III",0,"fresh",2013
"OSTION DEL NORTE","III",0,"fresh",2013
"OSTION DEL SUR","III",0,"fresh",2013
"PULPO","III",0,"fresh",2013
"PULPO DEL SUR","III",0,"fresh",2013
"TAQUILLA","III",0,"fresh",2013
"TUMBAO","III",0,"fresh",2013
"CAMARON NAILON","III",0,"fresh",2013
"CENTOLLA","III",0,"fresh",2013
"JAIBA MARMOLA","III",0,"fresh",2013
"JAIBA PELUDA O PACHONA","III",0,"fresh",2013
"ERIZO","III",2,"fresh",2013
"PIURE","III",0,"fresh",2013
"COCHAYUYO","IV",0,"fresh",2013
"ALBACORA O PEZ ESPADA","IV",674,"fresh",2013
"ATUN OJOS GRANDES","IV",0,"fresh",2013
"AZULEJO","IV",38,"fresh",2013
"BACALAO DE PROFUNDIDAD","IV",0,"fresh",2013
"BESUGO","IV",0,"fresh",2013
"CABALLA","IV",0,"fresh",2013
"CONGRIO COLORADO","IV",0,"fresh",2013
"CONGRIO DORADO","IV",0,"fresh",2013
"CONGRIO NEGRO","IV",0,"fresh",2013
"CORVINA","IV",0,"fresh",2013
"JUREL","IV",0,"fresh",2013
"MERLUZA COMUN","IV",0,"fresh",2013
"MERLUZA DE COLA","IV",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","IV",0,"fresh",2013
"PEJEGALLO","IV",0,"fresh",2013
"PEJERREY DE MAR","IV",0,"fresh",2013
"RAYA VOLANTIN","IV",0,"fresh",2013
"REINETA","IV",0,"fresh",2013
"ROBALO","IV",0,"fresh",2013
"SALMON DEL ATLANTICO","IV",0,"fresh",2013
"SALMON PLATEADO","IV",0,"fresh",2013
"SALMON REY","IV",0,"fresh",2013
"SARDINA COMUN","IV",0,"fresh",2013
"SIERRA","IV",0,"fresh",2013
"TIBURON O MARRAJO","IV",41,"fresh",2013
"TOLLO","IV",0,"fresh",2013
"TRUCHA ARCO IRIS","IV",0,"fresh",2013
"TURBOT","IV",0,"fresh",2013
"ABALON JAPONES","IV",0,"fresh",2013
"ABALON ROJO","IV",0,"fresh",2013
"ALMEJA","IV",0,"fresh",2013
"CARACOL LOCATE","IV",6,"fresh",2013
"CARACOL PALO PALO","IV",0,"fresh",2013
"CHOLGA","IV",0,"fresh",2013
"CHORITO","IV",0,"fresh",2013
"CHORO","IV",0,"fresh",2013
"CULENGUE","IV",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","IV",0,"fresh",2013
"JIBIA O CALAMAR ROJO","IV",1676,"fresh",2013
"LAPA NEGRA","IV",56,"fresh",2013
"LOCO","IV",155,"fresh",2013
"MACHA","IV",32,"fresh",2013
"NAVAJUELA","IV",0,"fresh",2013
"OSTION DEL NORTE","IV",107,"fresh",2013
"OSTION DEL SUR","IV",0,"fresh",2013
"PULPO","IV",0,"fresh",2013
"PULPO DEL SUR","IV",0,"fresh",2013
"TAQUILLA","IV",0,"fresh",2013
"TUMBAO","IV",0,"fresh",2013
"CAMARON NAILON","IV",8,"fresh",2013
"CENTOLLA","IV",0,"fresh",2013
"JAIBA MARMOLA","IV",0,"fresh",2013
"JAIBA PELUDA O PACHONA","IV",1,"fresh",2013
"ERIZO","IV",0,"fresh",2013
"PIURE","IV",0,"fresh",2013
"COCHAYUYO","V",0,"fresh",2013
"ALBACORA O PEZ ESPADA","V",39,"fresh",2013
"ATUN OJOS GRANDES","V",0,"fresh",2013
"AZULEJO","V",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","V",1,"fresh",2013
"BESUGO","V",0,"fresh",2013
"CABALLA","V",0,"fresh",2013
"CONGRIO COLORADO","V",0,"fresh",2013
"CONGRIO DORADO","V",0,"fresh",2013
"CONGRIO NEGRO","V",0,"fresh",2013
"CORVINA","V",0,"fresh",2013
"JUREL","V",0,"fresh",2013
"MERLUZA COMUN","V",1,"fresh",2013
"MERLUZA DE COLA","V",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","V",0,"fresh",2013
"PEJEGALLO","V",0,"fresh",2013
"PEJERREY DE MAR","V",0,"fresh",2013
"RAYA VOLANTIN","V",0,"fresh",2013
"REINETA","V",0,"fresh",2013
"ROBALO","V",0,"fresh",2013
"SALMON DEL ATLANTICO","V",0,"fresh",2013
"SALMON PLATEADO","V",0,"fresh",2013
"SALMON REY","V",0,"fresh",2013
"SARDINA COMUN","V",0,"fresh",2013
"SIERRA","V",0,"fresh",2013
"TIBURON O MARRAJO","V",0,"fresh",2013
