"species","region","tons","product","year","sc_name","en_name"
"MACHUELO O TRITRE","VI",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VI",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VI",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","VI",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","VI",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VI",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","VI",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","VII",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VII",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VII",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VII",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","VII",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","VII",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VII",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VII",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","VII",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","VII",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VII",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","VII",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","VIII",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VIII",2378,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VIII",1724,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VIII",309,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","VIII",1615,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","VIII",142,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VIII",129,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VIII",65,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","VIII",3,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","VIII",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VIII",12079,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","VIII",76,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","IX",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","IX",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","IX",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","IX",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","IX",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","IX",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","IX",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","IX",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","IX",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","IX",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","IX",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","IX",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XIV",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XIV",284,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XIV",619,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XIV",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","XIV",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XIV",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XIV",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XIV",57,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","XIV",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","XIV",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XIV",4454,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","XIV",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","X",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","X",26,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","X",6,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","X",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","X",1,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","X",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","X",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","X",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","X",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","X",2610,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","X",607,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","X",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XI",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XI",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XI",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XI",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","XI",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XI",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XI",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XI",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","XI",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","XI",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XI",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","XI",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XII",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XII",0,"oil",2013,"Engraulis ringens","Anchoveta"
