"species","region","tons","product","year","sc_name","en_name"
"HUIRO PALO","VIII",176,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","VIII",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","VIII",325,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","VIII",4475,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","VIII",1603,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","VIII",204,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","VIII",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","IX",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","IX",0,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","IX",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","IX",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","IX",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","IX",0,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","IX",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","IX",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","IX",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","IX",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","IX",0,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","IX",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","IX",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","XIV",0,"dry algae",2013,"Gelidium rex","Red algae"
