"year","region","especie_SERNAPESCA","nombre_cientifico_SERNAPESCA","tons"
2013,7,"CARACOL PALO PALO","Argobuccinum spp.",3.75
2013,7,"CONGRIO COLORADO","Genypterus chilensis",0.021
2013,7,"CONGRIO DORADO","Genypterus blacodes",0.021
2013,7,"CONGRIO NEGRO","Genypterus maculatus",0.021
2013,7,"CULENGUE","Gari solida",0.625
2013,7,"HUEPO O NAVAJA DE MAR","Ensis macha",22.5436
2013,7,"JUREL","Trachurus murphyi",211.68
2013,7,"LOCO","Concholepas concholepas",6.075
2013,7,"MACHA","Mesodesma donacium",2.22
2013,7,"NAVAJUELA","Tagelus dombeii",5.5306
2013,8,"ABALON JAPONES","Haliotis discus hannai",10.56
2013,8,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",236.25728
2013,8,"ALGAS MIXTAS",NA,2165.766
2013,8,"ATUN ALETA LARGA","Thunnus albacares",29.5851
2013,8,"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides",194.00586
2013,8,"CARACOL PALO PALO","Argobuccinum spp.",23.31319
2013,8,"CARACOL REAL O GIGANTE O VOLUTA ANGULOSA","Zidona dufresnei",1.612
2013,8,"CAROLA","Callophyllis variegata",2165.766
2013,8,"CENTOLLA","Lithodes santolla",58.3731
2013,8,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",199.08478
2013,8,"CHICOREA DE MAR","Chondracanthus chamissoi",1136.7015
2013,8,"CHOLGA","Aulacomya ater",299.71243
2013,8,"CHORO","Choromytilus chorus",299.71243
2013,8,"COCHAYUYO","Durvillaea antarctica",1589.92692
2013,8,"CORVINA","Cilus gilberti",3.38
2013,8,"CULENGUE","Gari solida",154.445
2013,8,"ERIZO","Loxechinus albus",58.1856
2013,8,"HUEPO O NAVAJA DE MAR","Ensis macha",481.57545
2013,8,"HUIRO","Macrocystis spp.",1720.885
2013,8,"JAIBA","Cancer spp.",10.2954
2013,8,"JAIBA LIMON","Cancer porteri",10.2954
2013,8,"JAIBA MARMOLA","Cancer edwardsi",10.2954
2013,8,"JAIBA MORA","Homalaspis plana",10.2954
2013,8,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",10.2954
2013,8,"JAIBA PELUDA O PACHONA","Cancer setosus",10.2954
2013,8,"JAIBA REINA","Cancer coronatus",10.2954
2013,8,"JAIBA REMADORA","Ovalipes trimaculatus",10.2954
2013,8,"JULIANA O TAWERA","Tawera gayi",0.2592
2013,8,"JUREL","Trachurus murphyi",92838.29878
2013,8,"LANGOSTINO AMARILLO","Cervimunida johni",1.8532
2013,8,"LANGOSTINO COLORADO","Pleuroncodes monodon",58.2964
2013,8,"LOCO","Concholepas concholepas",286.37178
2013,8,"MACHA","Mesodesma donacium",1.03124
2013,8,"MERLUZA COMUN","Merluccius gayi gayi",3388.58103
2013,8,"MERLUZA DEL ATLANTICO","Merluccius hubbsi",21.35366
2013,8,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",32.28883
2013,8,"NAVAJUELA","Tagelus dombeii",447.743
2013,8,"PEJERREY DE MAR","Odontesthes regia",305.5554
2013,8,"PELILLO","Gracilaria spp.",859.937
2013,8,"REINETA","Brama australis",275.6861
2013,8,"SALMON REY","Oncorhynchus tshawytscha",3315.244
2013,8,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",2585.5288
2013,9,"ALGAS MIXTAS",NA,100.595
2013,9,"CAROLA","Callophyllis variegata",100.595
