"year","region","sc_name","total_NHC"
2014,"IX","Durvillaea antarctica",0
2014,"IX","Engraulis ringens",0
2014,"IX","Ethmidium maculatum",0
2014,"IX","Gelidium rex",0
2014,"IX","Gigartina skottsbergii",0
2014,"IX","Gracilaria spp.",0
2014,"IX","Haematococcus pluvialis",0
2014,"IX","Isacia conceptionis",0
2014,"IX","Lessonia nigrescens",0
2014,"IX","Lessonia trabeculata",0
2014,"IX","Loligo gahi",0
2014,"IX","Macrocystis spp.",0
2014,"IX","Macruronus magellanicus",0
2014,"IX","Mazzaella laminarioides",0
2014,"IX","Normanichthys crockeri",0
2014,"IX","Odontesthes regia",0
2014,"IX","Pescado",0
2014,"IX","Pleuroncodes monodon",0
2014,"IX","Pleuroncodes sp",0
2014,"IX","Sarcothalia crispata",0
2014,"IX","Sardinops sagax",0
2014,"IX","Sciaena deliciosa",0
2014,"IX","Scomber japonicus",0
2014,"IX","Scomberesox saurus scombroides",0
2014,"IX","Seriolella caerulea",0
2014,"IX","Sprattus fuegensis",0
2014,"IX","Strangomera bentincki",0
2014,"IX","Stromateus stellatus",0
2014,"IX","Thyrsites atun",0
2014,"IX","Trachurus murphyi",0
2014,"RM","Brama australis",0
2014,"RM","Chondracanthus chamissoi",0
2014,"RM","Cilus gilberti",0
2014,"RM","Dosidicus gigas",0
2014,"RM","Durvillaea antarctica",0
2014,"RM","Engraulis ringens",0
2014,"RM","Ethmidium maculatum",0
2014,"RM","Gelidium rex",8
2014,"RM","Gigartina skottsbergii",493
2014,"RM","Gracilaria spp.",422
2014,"RM","Haematococcus pluvialis",0
2014,"RM","Isacia conceptionis",0
2014,"RM","Lessonia nigrescens",38
2014,"RM","Lessonia trabeculata",427
2014,"RM","Loligo gahi",0
2014,"RM","Macrocystis spp.",41
2014,"RM","Macruronus magellanicus",0
2014,"RM","Mazzaella laminarioides",43
2014,"RM","Normanichthys crockeri",0
2014,"RM","Odontesthes regia",0
2014,"RM","Pescado",0
2014,"RM","Pleuroncodes monodon",0
2014,"RM","Pleuroncodes sp",0
2014,"RM","Sarcothalia crispata",1592
2014,"RM","Sardinops sagax",0
