"species","region","tons","product","year","sc_name","en_name"
"BACALADILLO O MOTE","VIII",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VIII",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","VIII",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","VIII",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VIII",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VIII",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","VIII",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","VIII",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VIII",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","VIII",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","IX",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","IX",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","IX",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","IX",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","IX",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","IX",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","IX",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","IX",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","IX",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","IX",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","IX",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","IX",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XIV",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XIV",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XIV",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XIV",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","XIV",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XIV",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XIV",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XIV",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","XIV",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","XIV",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XIV",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","XIV",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","X",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","X",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","X",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","X",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","X",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","X",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","X",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","X",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","X",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","X",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","X",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","X",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XI",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XI",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XI",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XI",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","XI",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XI",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XI",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XI",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","XI",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","XI",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XI",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","XI",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XII",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XII",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XII",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XII",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","XII",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XII",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XII",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XII",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","XII",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","XII",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XII",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","XII",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","RM",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","RM",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","RM",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","RM",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","RM",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","RM",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","RM",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","RM",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","RM",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","RM",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","RM",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","RM",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XV",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XV",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XV",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XV",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","XV",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XV",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XV",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XV",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","XV",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","XV",0,"oil",2014,"Pescado","Fish"
"REINETA","XV",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","XV",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XV",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","XV",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","XV",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","XV",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","XV",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","I",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","I",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","I",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","I",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","I",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","I",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","I",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","I",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","I",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","I",0,"oil",2014,"Pescado","Fish"
"REINETA","I",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","I",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","I",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","I",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","I",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","I",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","I",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","II",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","II",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","II",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","II",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","II",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","II",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","II",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","II",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","II",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","II",0,"oil",2014,"Pescado","Fish"
"REINETA","II",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","II",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","II",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","II",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","II",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","II",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","II",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","III",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","III",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","III",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","III",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","III",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","III",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","III",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","III",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","III",0,"oil",2014,"Odontesthes regia","Chilean silverside"
