chl_name,sc_name,en_name,group,en_group,trade_name
JAIBA PATUDA,Taliepus marginatus,Crab patuda,crustaceos_otros,Crustaceans,Crabs
JAIBA PELUDA O PACHONA,Cancer setosus,Crab peluda,jaiba,Jaiba,Crabs
JAIBA PELUDA,Cancer setosus,Crab peluda,jaiba,Jaiba,Crabs
JAIBA REINA,Cancer coronatus,Queen Crab,jaiba,Jaiba,Crabs
JAIBA REMADORA,Ovalipes trimaculatus,Rowing Crab,jaiba,Jaiba,Crabs
JERGUILLA,Aplodactylus punctatus,Jerguilla,pescado_otros,Fish,Jerguilla
JIBIA O CALAMAR ROJO,Dosidicus gigas,Jumbo flying squid,jibia,Squid,Squid
JIBIA,Dosidicus gigas,Jumbo flying squid,jibia,Squid,Squid
JULIANA O TAWERA,Tawera gayi,Tawera,almeja_gayi,Tawera,Clams
JULIANA,Tawera gayi,Tawera,almeja_gayi,Tawera,Clams
JUREL,Trachurus murphyi,Chilean jack mackerel,jurel,Jack mackerel,Jack mackerel
KONSO,Ruvettus pretiosus,Oilfish,pescado_otros,Fish,Oilfish
LANGOSTA DE J.FERNANDEZ,Jasus frontalis,Juan Fernandez rock lobster,crustaceos_otros,Crustaceans,Lobsters
LANGOSTA DE J. FERNANDEZ,Jasus frontalis,Juan Fernandez rock lobster,crustaceos_otros,Crustaceans,Lobsters
LANGOSTA ENANA,Projasus bahamondei,Chilean Jagged Lobster,crustaceos_otros,Crustaceans,Lobsters
LANGOSTINO AMARILLO,Cervimunida johni,Blue squat lobster,langostinos_otros,Langostinos,Langostinos
LANGOSTINO COLORADO,Pleuroncodes monodon,Red squat lobster,langostino_col,Red squat lobster,Langostinos
LANGOSTINO ENANO,Pleuroncodes sp,Squat lobster,langostinos_otros,Langistinos,Langostinos
LAPA NEGRA,Fissurella latimarginata,Black keyhole limpet,moluscos_otros,Mollusks,Limpet
LAPA PICTA,Fissurella picta,Picta Keyhole limpet,moluscos_otros,Mollusks,Limpet
LAPA REINA,Fissurella maxima,Giant keyhole limpet,moluscos_otros,Mollusks,Limpet
LAPA ROSADA,Fissurella cumingi,Rosy keyhole limpet,moluscos_otros,Mollusks,Limpet
LECHUGUILLA,Ulva lactuca,Sea lettuce,alga,Algae,Algae
LENGUADO OJOS CHICOS,Paralichthys microps,Small-eye flounder,pescado_otros,Fish,Flounders
LIQUEN GOMOSO,Gymnogongrus furcellatus,Liquen Gomoso,alga,Algae,Algae
LISA,Mugil cephalus,Flathead grey mullet,pescado_otros,Fish,Flathead grey mullet
LOCO,Concholepas concholepas,Chilean abalone,loco,Loco,Loco
LUCHE,Porphyra columbina,Luche,alga,Algae,Algae
LUGA CUCHARA O CORTA,Mazzaella laminarioides,Luga,alga,Algae,Algae
LUCHA CUCHARA O CORTA,Mazzaella laminarioides,Luga,alga,Algae,Algae
LUGA NEGRA O CRESPA,Sarcothalia crispata,Black algae luga,alga,Algae,Algae
LUGA NEGRA,Sarcothalia crispata,Black algae luga,alga,Algae,Algae
LUGA-ROJA,Gigartina skottsbergii,Red luga,alga,Algae,Algae
LUGA ROJA,Gigartina skottsbergii,Red luga,alga,Algae,Algae
MACHA,Mesodesma donacium,Macha clam,macha,Macha,Machas
MACHUELO O TRITRE,Ethmidium maculatum,Pacific menhaden,pescado_otros,Fish,Pacific menhaden
MACHUELO TRITRE,Ethmidium maculatum,Pacific menhaden,pescado_otros,Fish,Pacific menhaden
MACHUELO,Ethmidium maculatum,Pacific menhaden,pescado_otros,Fish,Pacific menhaden
MARLIN,Tetrapturus spp.,Tetrapturus,pescado_otros,Fish,Marlin
MERLUZA COMUN,Merluccius gayi gayi,South Pacific hake,merluza,Hake,Hake
MERLUZA DE COLA,Macruronus magellanicus,Patagonian grenadier,merluza,Hake,Hake
MERLUZA DE TRES ALETAS,Micromesistius australis,Southern blue whiting,merluza,Hake,Hake
MERLUZA DEL SUR O AUSTRAL,Merluccius australis,Southern hake,merluza,Hake,Hake
MERLUZA DEL SUR,Merluccius australis,Southern hake,merluza,Hake,Hake
NANUE,Kiphosus sandwicensis,Pacific chub,pescado_otros,Fish,Pacific chub
NAVAJUELA,Tagelus dombeii,Navajuela,navajuela,Navajuela,Navajuela
OSTION DEL SUR,Chlamys vitrea,Sea scalop,moluscos_otros,Mollusks,Scallop
OSTRA CHILENA,Ostrea chilensis,Chilean flat oyster,ostra,Oyster,Oyster
PAMPANITO,Stromateus stellatus,Starry butterfish,pescado_otros,Fish,Starry butterfish
PEJEGALLO,Callorhinchus callorhynchus,American Elephantfish,pescado_otros,Fish,American Elephantfish
PEJEPERRO,Semicossyphus maculatus,Sheephead,pescado_otros,Fish,Sheephead
PEJERRATA,Coelorhynchus chilensis,Chilean grenadier,pescado_otros,Fish,Chilean grenadier
PEJERREY DE MAR,Odontesthes regia,Chilean silverside,pescado_otros,Fish,Chilean silverside
PEJESAPO,Sicyases sanguin,Pejesapo,pescado_otros,Fish,Pejesapo
PEJEZORRO,Alopias vulpinus,Thresher,pescado_otros,Fish,Thresher
PELILLO,Gracilaria spp.,Red algae gracilaria,alga,Algae,Algae
PEPINO DE MAR,Athyonidium chilensis,Sea cucumber,invertebrados_otros,Invertebrates,Sea cucumber
PESCADO NO CLASIFICADO,Pescado,Fish,pescado_otros,Fish,Other fish
PEZ SOL,Lampris guttatus,Opah,pescado_otros,Fish,Opah
PICOROCO,Austromegabalanus psittacus,Giant barnacle,crustaceos_otros,Crustaceans,Giant barnacle
PIURE,Pyura chilensis,Chilean tunicate,piure,Piure,Chilean tunicate
PULPO,Octopus (vulgaris) mimus,Changos octopus,pulpo,Octopus,Octopus
PULPO DEL SUR,Enteroctopus megalocyathus,Southern red octopus,pulpo,Octopus,Octopus
PUYE,Galaxias maculatus,Common galaxias,pescado_otros,Fish,Common galaxias
RAYA ESPINOSA,Dipturus trachyderma,Ray,raya,Ray,Rays
RAYA VOLANTIN,Zearaja chilensis,Yellownose skate,raya,Ray,Rays
RAYA,Zearaja chilensis,Yellownose skate,raya,Ray,Rays
REINETA,Brama australis,Southern rays bream,pescado_otros,Fish,Southern rays bream 
