"species","region","tons","product","year"
"PAMPANITO","I",0,"oil",2014
"PEJERREY DE MAR","I",0,"oil",2014
"PESCADO NO CLASIFICADO","I",0,"oil",2014
"REINETA","I",0,"oil",2014
"SARDINA AUSTRAL","I",0,"oil",2014
"SARDINA COMUN","I",0,"oil",2014
"CALAMAR","I",0,"oil",2014
"JIBIA O CALAMAR ROJO","I",0,"oil",2014
"LANGOSTINO COLORADO","I",0,"oil",2014
"LANGOSTINO ENANO","I",0,"oil",2014
"AGUJILLA","II",0,"oil",2014
"ANCHOVETA","II",0,"oil",2014
"BACALADILLO O MOTE","II",0,"oil",2014
"CABALLA","II",0,"oil",2014
"JUREL","II",0,"oil",2014
"MACHUELO O TRITRE","II",0,"oil",2014
"MERLUZA DE COLA","II",0,"oil",2014
"PAMPANITO","II",0,"oil",2014
"PEJERREY DE MAR","II",0,"oil",2014
"PESCADO NO CLASIFICADO","II",0,"oil",2014
"REINETA","II",0,"oil",2014
"SARDINA AUSTRAL","II",0,"oil",2014
"SARDINA COMUN","II",0,"oil",2014
"CALAMAR","II",0,"oil",2014
"JIBIA O CALAMAR ROJO","II",0,"oil",2014
"LANGOSTINO COLORADO","II",0,"oil",2014
"LANGOSTINO ENANO","II",0,"oil",2014
"AGUJILLA","III",0,"oil",2014
"ANCHOVETA","III",0,"oil",2014
"BACALADILLO O MOTE","III",0,"oil",2014
"CABALLA","III",0,"oil",2014
"JUREL","III",0,"oil",2014
"MACHUELO O TRITRE","III",0,"oil",2014
"MERLUZA DE COLA","III",0,"oil",2014
"PAMPANITO","III",0,"oil",2014
"PEJERREY DE MAR","III",0,"oil",2014
"PESCADO NO CLASIFICADO","III",0,"oil",2014
"REINETA","III",0,"oil",2014
"SARDINA AUSTRAL","III",0,"oil",2014
"SARDINA COMUN","III",0,"oil",2014
"CALAMAR","III",0,"oil",2014
"JIBIA O CALAMAR ROJO","III",0,"oil",2014
"LANGOSTINO COLORADO","III",0,"oil",2014
"LANGOSTINO ENANO","III",0,"oil",2014
"AGUJILLA","IV",0,"oil",2014
"ANCHOVETA","IV",0,"oil",2014
"BACALADILLO O MOTE","IV",0,"oil",2014
"CABALLA","IV",0,"oil",2014
"JUREL","IV",0,"oil",2014
"MACHUELO O TRITRE","IV",0,"oil",2014
"MERLUZA DE COLA","IV",0,"oil",2014
"PAMPANITO","IV",0,"oil",2014
"PEJERREY DE MAR","IV",0,"oil",2014
"PESCADO NO CLASIFICADO","IV",0,"oil",2014
"REINETA","IV",0,"oil",2014
"SARDINA AUSTRAL","IV",0,"oil",2014
"SARDINA COMUN","IV",0,"oil",2014
"CALAMAR","IV",0,"oil",2014
"JIBIA O CALAMAR ROJO","IV",0,"oil",2014
"LANGOSTINO COLORADO","IV",0,"oil",2014
"LANGOSTINO ENANO","IV",0,"oil",2014
"AGUJILLA","V",0,"oil",2014
"ANCHOVETA","V",0,"oil",2014
"BACALADILLO O MOTE","V",0,"oil",2014
"CABALLA","V",0,"oil",2014
"JUREL","V",0,"oil",2014
"MACHUELO O TRITRE","V",0,"oil",2014
"MERLUZA DE COLA","V",0,"oil",2014
"PAMPANITO","V",0,"oil",2014
"PEJERREY DE MAR","V",0,"oil",2014
"PESCADO NO CLASIFICADO","V",0,"oil",2014
"REINETA","V",0,"oil",2014
"SARDINA AUSTRAL","V",0,"oil",2014
"SARDINA COMUN","V",0,"oil",2014
"CALAMAR","V",0,"oil",2014
"JIBIA O CALAMAR ROJO","V",0,"oil",2014
"LANGOSTINO COLORADO","V",0,"oil",2014
"LANGOSTINO ENANO","V",0,"oil",2014
"AGUJILLA","VI",0,"oil",2014
"ANCHOVETA","VI",0,"oil",2014
"BACALADILLO O MOTE","VI",0,"oil",2014
"CABALLA","VI",0,"oil",2014
"JUREL","VI",0,"oil",2014
"MACHUELO O TRITRE","VI",0,"oil",2014
"MERLUZA DE COLA","VI",0,"oil",2014
"PAMPANITO","VI",0,"oil",2014
"PEJERREY DE MAR","VI",0,"oil",2014
"PESCADO NO CLASIFICADO","VI",0,"oil",2014
"REINETA","VI",0,"oil",2014
"SARDINA AUSTRAL","VI",0,"oil",2014
"SARDINA COMUN","VI",0,"oil",2014
"CALAMAR","VI",0,"oil",2014
"JIBIA O CALAMAR ROJO","VI",0,"oil",2014
"LANGOSTINO COLORADO","VI",0,"oil",2014
"LANGOSTINO ENANO","VI",0,"oil",2014
"AGUJILLA","VII",0,"oil",2014
"ANCHOVETA","VII",0,"oil",2014
"BACALADILLO O MOTE","VII",0,"oil",2014
"CABALLA","VII",0,"oil",2014
"JUREL","VII",0,"oil",2014
"MACHUELO O TRITRE","VII",0,"oil",2014
"MERLUZA DE COLA","VII",0,"oil",2014
"PAMPANITO","VII",0,"oil",2014
"PEJERREY DE MAR","VII",0,"oil",2014
"PESCADO NO CLASIFICADO","VII",0,"oil",2014
"REINETA","VII",0,"oil",2014
"SARDINA AUSTRAL","VII",0,"oil",2014
"SARDINA COMUN","VII",0,"oil",2014
"CALAMAR","VII",0,"oil",2014
"JIBIA O CALAMAR ROJO","VII",0,"oil",2014
"LANGOSTINO COLORADO","VII",0,"oil",2014
"LANGOSTINO ENANO","VII",0,"oil",2014
"AGUJILLA","VIII",0,"oil",2014
"ANCHOVETA","VIII",0,"oil",2014
"BACALADILLO O MOTE","VIII",0,"oil",2014
"CABALLA","VIII",0,"oil",2014
"JUREL","VIII",0,"oil",2014
"MACHUELO O TRITRE","VIII",0,"oil",2014
"MERLUZA DE COLA","VIII",0,"oil",2014
"PAMPANITO","VIII",0,"oil",2014
"PEJERREY DE MAR","VIII",0,"oil",2014
"PESCADO NO CLASIFICADO","VIII",0,"oil",2014
"REINETA","VIII",0,"oil",2014
"SARDINA AUSTRAL","VIII",0,"oil",2014
"SARDINA COMUN","VIII",0,"oil",2014
"CALAMAR","VIII",0,"oil",2014
"JIBIA O CALAMAR ROJO","VIII",0,"oil",2014
"LANGOSTINO COLORADO","VIII",0,"oil",2014
"LANGOSTINO ENANO","VIII",0,"oil",2014
"AGUJILLA","IX",0,"oil",2014
"ANCHOVETA","IX",0,"oil",2014
"BACALADILLO O MOTE","IX",0,"oil",2014
"CABALLA","IX",0,"oil",2014
"JUREL","IX",0,"oil",2014
"MACHUELO O TRITRE","IX",0,"oil",2014
"MERLUZA DE COLA","IX",0,"oil",2014
"PAMPANITO","IX",0,"oil",2014
"PEJERREY DE MAR","IX",0,"oil",2014
"PESCADO NO CLASIFICADO","IX",0,"oil",2014
