"","subsector","species","region","international_waters","tons"
"136","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",0,NA
"137","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",1,NA
"138","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","R.M.",1,NA
"139","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",0,16.75
"140","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",1,NA
"141","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",0,NA
"142","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",1,NA
"143","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",0,1
"144","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",1,NA
"145","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",0,5.5
"146","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",1,1
"147","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",0,NA
"148","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",1,NA
"149","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",0,NA
"150","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",1,NA
"151","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",0,NA
"152","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",1,NA
"153","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",0,NA
"154","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",1,NA
"155","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",0,NA
"156","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",1,NA
"157","artisanal","ATUN ALETA LARGA","I",0,NA
"158","artisanal","ATUN ALETA LARGA","II",0,NA
"159","artisanal","ATUN ALETA LARGA","III",0,NA
"160","artisanal","ATUN ALETA LARGA","IV",0,3
"161","artisanal","ATUN ALETA LARGA","IX",0,NA
"162","artisanal","ATUN ALETA LARGA","V",0,1.25
"163","artisanal","ATUN ALETA LARGA","VI",0,NA
"164","artisanal","ATUN ALETA LARGA","VII",0,NA
"165","artisanal","ATUN ALETA LARGA","VIII",0,4.5
"166","artisanal","ATUN ALETA LARGA","X",0,NA
"167","artisanal","ATUN ALETA LARGA","XI",0,NA
"168","artisanal","ATUN ALETA LARGA","XII",0,NA
"169","artisanal","ATUN ALETA LARGA","XIV",0,NA
"170","artisanal","ATUN ALETA LARGA","XV",0,NA
"171","artisanal","ATUN CHAUCHERA","I",0,NA
"172","artisanal","ATUN CHAUCHERA","II",0,NA
"173","artisanal","ATUN CHAUCHERA","III",0,NA
"174","artisanal","ATUN CHAUCHERA","IV",0,2.33333333333333
"175","artisanal","ATUN CHAUCHERA","IX",0,NA
"176","artisanal","ATUN CHAUCHERA","V",0,1
"177","artisanal","ATUN CHAUCHERA","VI",0,NA
"178","artisanal","ATUN CHAUCHERA","VII",0,NA
"179","artisanal","ATUN CHAUCHERA","VIII",0,3.66666666666667
"180","artisanal","ATUN CHAUCHERA","X",0,NA
"181","artisanal","ATUN CHAUCHERA","XI",0,NA
"182","artisanal","ATUN CHAUCHERA","XII",0,NA
"183","artisanal","ATUN CHAUCHERA","XIV",0,NA
"184","artisanal","ATUN CHAUCHERA","XV",0,NA
"185","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","I",0,NA
"186","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","II",0,NA
"187","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","III",0,NA
"188","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","IV",0,2
"189","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","IX",0,NA
"190","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","V",0,NA
"191","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","VI",0,NA
"192","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","VII",0,NA
"193","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","VIII",0,NA
"194","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","X",0,NA
"195","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XI",0,NA
"196","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XII",0,NA
"197","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XIV",0,NA
"198","artisanal","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","XV",0,NA
"199","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","I",0,NA
"200","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","II",0,NA
"201","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","III",0,NA
"202","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","IV",0,3.66666666666667
"203","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","IX",0,NA
"204","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","V",0,4
"205","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","VI",0,NA
"206","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","VII",0,NA
"207","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","VIII",0,2
"208","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","X",0,NA
"209","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XI",0,NA
"210","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XII",0,NA
"211","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XIV",0,NA
"212","artisanal","ATUN OJOS GRANDES / KAHI MATA TATA","XV",0,NA
"213","artisanal","AZULEJO","I",0,87.75
"214","artisanal","AZULEJO","I",1,NA
"215","artisanal","AZULEJO","II",0,13.5
"216","artisanal","AZULEJO","II",1,NA
"217","artisanal","AZULEJO","III",0,2
"218","artisanal","AZULEJO","III",1,NA
"219","artisanal","AZULEJO","IV",0,18.75
"220","artisanal","AZULEJO","IV",1,37
"221","artisanal","AZULEJO","IX",0,NA
"222","artisanal","AZULEJO","IX",1,NA
"223","artisanal","AZULEJO","V",0,4
"224","artisanal","AZULEJO","V",1,NA
"225","artisanal","AZULEJO","VI",0,NA
"226","artisanal","AZULEJO","VI",1,NA
"227","artisanal","AZULEJO","VII",0,4
"228","artisanal","AZULEJO","VII",1,NA
"229","artisanal","AZULEJO","VIII",0,1
"230","artisanal","AZULEJO","VIII",1,NA
"231","artisanal","AZULEJO","X",0,NA
"232","artisanal","AZULEJO","X",1,NA
"233","artisanal","AZULEJO","XI",0,NA
"234","artisanal","AZULEJO","XI",1,NA
"235","artisanal","AZULEJO","XII",0,NA
"236","artisanal","AZULEJO","XII",1,NA
"237","artisanal","AZULEJO","XIV",0,NA
"238","artisanal","AZULEJO","XIV",1,NA
"239","artisanal","AZULEJO","XV",0,40.75
"240","artisanal","AZULEJO","XV",1,NA
"241","artisanal","BACALADILLO O MOTE","I",0,1
"242","artisanal","BACALADILLO O MOTE","II",0,NA
"243","artisanal","BACALADILLO O MOTE","III",0,812
"244","artisanal","BACALADILLO O MOTE","IV",0,231.666666666667
"245","artisanal","BACALADILLO O MOTE","IX",0,NA
"246","artisanal","BACALADILLO O MOTE","V",0,1
"247","artisanal","BACALADILLO O MOTE","VI",0,NA
"248","artisanal","BACALADILLO O MOTE","VII",0,NA
"249","artisanal","BACALADILLO O MOTE","VIII",0,26882.75
"250","artisanal","BACALADILLO O MOTE","X",0,58.75
"251","artisanal","BACALADILLO O MOTE","XI",0,NA
"252","artisanal","BACALADILLO O MOTE","XII",0,NA
"253","artisanal","BACALADILLO O MOTE","XIV",0,2388.75
"254","artisanal","BACALADILLO O MOTE","XV",0,2
"255","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","I",0,NA
"256","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","II",0,NA
"257","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","III",0,NA
"258","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","IV",0,NA
"259","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","IX",0,NA
"260","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","V",0,5
"261","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","VI",0,NA
"262","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","VII",0,NA
"263","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","VIII",0,NA
"264","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","X",0,NA
"265","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XI",0,NA
"266","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XII",0,NA
"267","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XIV",0,NA
"268","artisanal","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","XV",0,NA
"269","artisanal","BACALAO DE PROFUNDIDAD","I",0,50.75
"270","artisanal","BACALAO DE PROFUNDIDAD","II",0,15.3333333333333
"271","artisanal","BACALAO DE PROFUNDIDAD","III",0,56
"272","artisanal","BACALAO DE PROFUNDIDAD","IV",0,31.5
"273","artisanal","BACALAO DE PROFUNDIDAD","IX",0,NA
"274","artisanal","BACALAO DE PROFUNDIDAD","V",0,80
"275","artisanal","BACALAO DE PROFUNDIDAD","VI",0,NA
"276","artisanal","BACALAO DE PROFUNDIDAD","VII",0,120
"277","artisanal","BACALAO DE PROFUNDIDAD","VIII",0,246.5
"278","artisanal","BACALAO DE PROFUNDIDAD","X",0,621
"279","artisanal","BACALAO DE PROFUNDIDAD","XI",0,NA
"280","artisanal","BACALAO DE PROFUNDIDAD","XII",0,44.3333333333333
"281","artisanal","BACALAO DE PROFUNDIDAD","XIV",0,293.75
"282","artisanal","BACALAO DE PROFUNDIDAD","XV",0,10.5
"283","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","I",0,NA
"284","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","I",1,NA
