"year","trade_name","landing_aqua","NHC","export","import","mean_yield","HC"
2015,"Chilean silverside",877,4,506.8344,0,0.425,-135.8094
2015,"Chilean tunicate",2274,0,0,0,0.125,284.25
2015,"Clams",20045,0,837.8157,33.992,0.225,3706.3013
2015,"Common galaxias",0,0,0,0,0.5,0
2015,"Corvina drum",848,0,10.095,0,0.55,456.305
2015,"Crabs",6028,0,374.92774,32.2053,0.225,1013.57756
2015,"Cusk-eel",2129,0,351.08122,0,0.5,713.41878
2015,"Eel",49,0,0,2.49,0.4,22.09
2015,"Flathead grey mullet",42,0,0,0,0.6,25.2
2015,"Flounders",21,0,0,0,0.5,10.5
2015,"Giant barnacle",175,0,0,0,0.125,21.875
2015,"Grape-eye seabass",10,0,0,0,0.525,5.25
2015,"Hake",81821,44,14160.70883,293.92036,0.5,27021.71153
2015,"Hapuku wreckfish",5,0,0,0,0.424,2.12
2015,"Huaiquil",1,0,0,0,0.5,0.5
2015,"Jack mackerel",288772,140072,86039.93409,12810.3978,0.5,1120.46371
2015,"Jellyfish",0,0,0,0,1,0
2015,"Jerguilla",6,0,0,0,0.5,3
2015,"King crab",7941,0,4652.17635,0,0.24375,-2716.5576
2015,"King gar",3375,3353,0,0,0.5,11
2015,"Langostinos",11603,764,1253.48965,128.944,0.225,1314.22935
2015,"Limpet",661,0,0,0,0.266428571428571,176.109285714286
2015,"Lobsters",92,0,4.012,0,0.225,16.688
2015,"Loco",2395,0,337.21554,0,0.225,201.65946
2015,"Lorna drum",38,23,0,0,0.525,7.875
2015,"Machas",1255,0,28.9857,0,0.225,253.3893
2015,"Mackerel",49205,43071,465.56281,776.5593,0.6,3991.39649
2015,"Mackerel icefish",0,0,27.06217,0,0.55,-27.06217
2015,"Mahi Mahi",0,0,0,0,0.6,0
2015,"Marlin",55,0,0,0,0.4875,26.8125
2015,"Mote sculpin",26445,26094,0,0,0.5,175.5
2015,"Mussels",300023,0,75203.93137,386.19317,0.175,-22313.7132
2015,"Navaja de mar",3260,0,1134.72792,0,0.225,-401.22792
2015,"Navajuela",5022,0,1535.76875,0,0.225,-405.81875
2015,"Navodon",0,0,0,0,0.5,0
2015,"Octopus",1849,0,0.015,1.71664,0.725,1342.22664
2015,"Orange roughy",0,0,0,0,0.5,0
2015,"Other crustaceans",5797,0,0,13.02918,0.2,1172.42918
2015,"Other fish",146,0,0,1062.47629,0.5,1135.47629
2015,"Other mollusks",11,0,0,15.1736,0.225,17.6486
2015,"Oyster",282,0,5.338,0.48,0.125,30.392
2015,"Pacific chub",0,0,0,0,0.5,0
2015,"Pacific menhaden",9695,9672,0,0,0.55,12.65
2015,"Pacific sandperch",44,0,0,0,0.5,22
2015,"Patagonian blennie",236,0,0,0,0.5,118
2015,"Patagonian toothfish",3768,0,2663.8856,0,0.424,-1066.2536
2015,"Pejesapo",0,0,0,0,0.5,0
2015,"Peruvian anchoveta",540095,534248,23.55982,0,0.55,3192.29018
2015,"Peruvian banded croaker",0,0,0,0,0.525,0
2015,"Peruvian grunt",5,0,0,0,0.525,2.625
2015,"Peruvian morwong",100,0,0,0,0.5,50
2015,"Peruvian rock seabass",509,12,0,0,0.525,260.925
2015,"Peruvian weakfish",0,0,0,0,0.6,0
2015,"Prawns",103,0,0,0,0.2,20.6
2015,"Rainbow runner",1,0,0,0,0.5,0.5
2015,"Rays",37,0,0,0,0.5,18.5
2015,"Rockfish helicolenus",913,0,0,0,0.5,456.5
2015,"Salmon",775993,0,583523.69255,38.95283,0.5,-195488.23972
2015,"Sardines",467651,461683,64.731,418.76779,0.5,3338.03679
2015,"Scallop",3561,0,73.1044,0,0.15,461.0456
2015,"Sea Chab",3,0,0,0,0.5,1.5
2015,"Sea bream",0,0,0,0,0.5,0
2015,"Sea cucumber",200,0,10.43145,0,1,189.56855
2015,"Sea urchin",31085,0,570.75126,0,0.075,1760.62374
2015,"Shark",1016,0,0,0,0.5525,561.34
2015,"Sheephead",8,0,0,0,0.5,4
2015,"Shrimp",4294,0,460.85333,2908.96063,0.2,3306.9073
2015,"Skipjack tuna",43,0,0,1196.23317,0.5375,1219.34567
2015,"Snails",861,0,113.25526,0.78479,0.2,59.72953
2015,"Southern rays bream",34218,0,2368.41375,0,0.5,14740.58625
2015,"Splendid alfonsino",0,0,0,0,0.5,0
2015,"Squid",143700,259,2.90253,0.2775,0.785,112598.55997
2015,"Starry butterfish",2462,2305,0,0,0.5,78.5
2015,"Swordfish",6029,0,2098.06442,0,0.425,464.26058
2015,"Tadpole codling",703,0,416.40127,0,0.5,-64.90127
2015,"Trout",107109,0,72108.5376,0,0.5,-18554.0376
2015,"Tuna",52,0,61.57082,24961.06445,0.475,24924.19363
2015,"Turbot",4,0,0,0,0.5,2
2015,"Vieja",6,0,0,0,0.55,3.3
2015,"Warehou",4929,0,2490.9252,0,0.6,466.4748
2015,"Yellowtail amberjack",561,0,0,0,0.551666666666667,309.485
2016,"Abalone",1276,0,6.75015,0.2376,0.225,280.58745
2016,"Algae",344570,328080,76400.12171,0,0.75,-64032.62171
2016,"American Elephantfish",626,0,0,0,0.5,313
2016,"Anchovy",0,0,2.529,13.43121,0.55,10.90221
2016,"Cabinza grunt",22,0,0,0,0.5,11
2016,"Chalapo clinid",0,0,0,0,0.5,0
2016,"Chilean grenadier",47,0,0,0,0.5,23.5
2016,"Chilean sandperch",25,0,0,0,0.5,12.5
2016,"Chilean silverside",706,0,175.63595,0,0.425,124.41405
2016,"Chilean tunicate",2120,0,0,0,0.125,265
2016,"Clams",19768,0,516.05714,1.1985,0.225,3932.94136
2016,"Common galaxias",1,0,0,0,0.5,0.5
2016,"Corvina drum",1670,0,59.13127,0,0.55,859.36873
2016,"Crabs",7158,0,568.72422,33.51474,0.225,1075.34052
2016,"Cusk-eel",1840,0,236.46583,0,0.5,683.53417
2016,"Eel",55,0,0.045,0,0.4,21.955
2016,"Flathead grey mullet",55,0,0,0,0.6,33
2016,"Flounders",15,0,0,0,0.5,7.5
2016,"Giant barnacle",285,0,0,0,0.125,35.625
2016,"Grape-eye seabass",4,0,0,0,0.525,2.1
2016,"Hake",74067,24,15115.30261,224.54988,0.5,22130.74727
2016,"Hapuku wreckfish",0,0,0,0,0.424,0
2016,"Huaiquil",5,0,0,0,0.5,2.5
2016,"Jack mackerel",323298,154822,93724.07057,8919.24845,0.5,-566.822119999995
