PRECIOS DE PRIMERA TRANSACCI年 ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2015,,,,,,,,,,,,
,,,,,,,,,,,,
A絨,MES,REGI年,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2015,1,8,350,LO ROJAS,236,Lenguado,"4,900,000",,0.1,B,BN,CHD
2015,1,8,350,LO ROJAS,274,Reineta,"1,400,000",,4.4,B - L,BN,CHD - PP
2015,1,8,374,LEBU,110,Cochayuyo,"150,000",30,3,O,BN,PP
2015,1,8,374,LEBU,137,Luga negra,"600,000",30,3,O,BN,PP
2015,1,8,374,LEBU,274,Reineta,"500,000",,67,B - L,BN,CHD
2015,1,8,374,LEBU,445,Jibia o calamar rojo,"140,000",,16,B,BN,PP
2015,1,9,388,QUEULE,230,Corvina,"1,000,000",,1,L,BN,CHD
2015,1,9,388,QUEULE,258,Pejegallo,"600,000",,1,L,BN,CHD
2015,1,9,388,QUEULE,274,Reineta,"600,000",,1,L,BN,CHD
2015,1,9,388,QUEULE,242,Merluza comun,"450,000",,1,L,BN,CHD
2015,1,10,474,DALCAHUE,435,Choro,"400,000",,0.15,L,BN,PP
2015,1,10,474,DALCAHUE,137,Luga negra,"500,000",30,0.35,L,BN,PP
2015,1,10,474,DALCAHUE,282,Sierra,"800,000",,1.8,L,BN,CHD
2015,1,10,474,DALCAHUE,405,Juliana o tawera,"170,000",,11,L,BN,PP
2015,1,10,474,DALCAHUE,274,Reineta,"300,000",,17,L,BN,CHD
2015,1,10,474,DALCAHUE,228,Congrio dorado,"1,800,000",,5,L,BN,CHD
2015,1,10,474,DALCAHUE,444,Huepo o navaja de mar,"850,000",,0.2,L,BN,CHD
2015,1,10,474,DALCAHUE,425,Cholga,"90,000",,0.25,L,BN,CHD
2015,1,10,474,DALCAHUE,460,Macha,"1,400,000",,0.4,L,BN,CHD
2015,1,10,474,DALCAHUE,654,Jaiba marmola,"260,000",,4,L,BN,PP
2015,1,10,474,DALCAHUE,654,Jaiba marmola,"230,000",,0.4,L,BN,PP
2015,1,10,474,DALCAHUE,654,Jaiba marmola,"220,000",,0.2,L,BN,PP
2015,1,10,474,DALCAHUE,405,Juliana o tawera,"170,000",,11,L,BN,PP
2015,1,10,474,DALCAHUE,274,Reineta,"300,000",,17,L,BN,CHD
2015,1,10,474,DALCAHUE,228,Congrio dorado,"1,800,000",,5,L,BN,CHD
2015,1,10,474,DALCAHUE,444,Huepo o navaja de mar,"850,000",,0.2,L,BN,PP
2015,1,10,573,LA VEGA,435,Choro,"1,000,000",,0.75,L,BN,CHD
2015,1,10,573,LA VEGA,408,Tumbao,"215,000",,0.726,L,BN,PP
2015,1,10,573,LA VEGA,440,Culengue,"450,000",,0.4,L,BN,PP
2015,1,10,494,QUELL年,406,Almeja,"300,000",,0.6,L,BN,CHD
2015,1,10,494,QUELL年,406,Almeja,"330,000",,1.95,L,BN,CHD
2015,1,10,494,QUELL年,406,Almeja,"330,000",,3,L,BN,CHD
2015,1,11,514,PUERTO AYSEN,406,Almeja,"400,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,486,Pulpo del Sur,"900,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,267,Puye,"2,500,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,440,Culengue,"250,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,244,Merluza del sur,"1,100,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,228,Congrio dorado,"1,000,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,268,Raya,"900,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,275,Sardina austral,"50,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,616,Centolla,"2,400,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,137,Luga negra,"160,000",30,,L,,PP
2015,1,11,514,PUERTO AYSEN,136,Luga roja,"290,000",30,,L,,PP
2015,1,11,514,PUERTO AYSEN,810,Erizo,"210,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,406,Almeja,"400,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,486,Pulpo del Sur,"900,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,267,Puye,"2,500,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,440,Culengue,"250,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,244,Merluza del sur,"1,100,000",,5.51,L,,PP
2015,1,11,514,PUERTO AYSEN,228,Congrio dorado,"1,000,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,268,Raya,"1,000,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,275,Sardina austral,"50,000",,93.95,L,,PP
2015,1,11,514,PUERTO AYSEN,616,Centolla,"2,400,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,137,Luga negra,"160,000",,,L,,PP
2015,1,11,514,PUERTO AYSEN,136,Luga roja,"290,000",30,,L,,PP
2015,1,11,514,PUERTO AYSEN,810,Erizo,"210,000",,,L,,PP
2015,1,12,534,PUNTA ARENAS,444,Huepo o navaja de mar,"550,000",,2.99,O,BN,PP
2015,1,12,534,PUNTA ARENAS,444,Huepo o navaja de mar,"550,000",,2.87,O,BN,PP
2015,1,12,536,PUERTO NATALES,270,Robalo,"1,000,000",,0.2,B,BN,CHD
2015,1,12,536,PUERTO NATALES,270,Robalo,"1,000,000",,0.1,B,BN,CHD
2015,2,15,4,ARICA,451,Lapa negra,"1,500,000",,0.08,B,BN,CHD
2015,2,15,4,ARICA,415,Caracol locate,"1,500,000",,0.07,B,BN,CHD
2015,2,15,4,ARICA,406,Almeja,"1,000,000",,0.03,B,BN,CHD
2015,2,15,4,ARICA,435,Choro,"1,000,000",,0.03,B,BN,CHD
2015,2,15,4,ARICA,254,Palometa,"1,600,000",,0.7,B,BN,CHD
2015,2,15,4,ARICA,820,Piure,"1,000,000",,0.05,B,BN,CHD
2015,2,15,4,ARICA,204,Breca,"200,000",,0.02,B,BN,CHD
2015,2,15,4,ARICA,285,Tomoyo,"3,000,000",,0.01,B,BN,CHD
2015,2,15,4,ARICA,254,Palometa,"2,000,000",,0.1,B,BN,CHD
2015,2,15,4,ARICA,280,Sargo,"3,000,000",,0.01,B,BN,CHD
2015,2,15,4,ARICA,239,Jerguilla,"1,000,000",,0.01,B,BN,CHD
2015,2,15,4,ARICA,260,Pejerrey de mar,"1,000,000",,0.005,B,BN,CHD
2015,2,15,4,ARICA,234,Jurel,"1,500,000",,0.002,B,BN,CHD
2015,2,15,4,ARICA,425,Cholga,"1,000,000",,0.005,B,BN,CHD
2015,2,15,4,ARICA,406,Almeja,"1,000,000",,0.005,B,BN,CHD
2015,2,15,4,ARICA,415,Caracol locate,"1,000,000",,0.07,B,BN,CHD
2015,2,15,4,ARICA,451,Lapa negra,"1,500,000",,0.08,B,BN,CHD
2015,2,1,8,RIQUELME,231,Dorado,"1,500,000",,0.08,L,BN,CHD
2015,2,1,10,CAVANCHA,291,Vilagay,"1,500,000",,0.1,B,BN,CHD
2015,2,1,10,CAVANCHA,284,Tiburon o marrajo,"1,700,000",,0.15,L,BN,CHD
2015,2,1,10,CAVANCHA,211,Azulejo,"700,000",,0.2,L,BN,CHD
2015,2,1,10,CAVANCHA,284,Tiburon o marrajo,"1,700,000",,0.5,L,BN,CHD
2015,2,2,46,TOCOPILLLA,451,Lapa negra,"800,000",,0.7,B,BN,PP
2015,2,2,46,TOCOPILLLA,142,Huiro palo,"300,000",30,0.5,O,BN,PP
2015,2,2,46,TOCOPILLLA,141,Huiro negro,"140,000",30,1,O,BN,PP
2015,2,2,46,TOCOPILLLA,145,Huiro,"50,000",30,2,O,BN,PP
2015,2,2,46,TOCOPILLLA,810,Erizo,"320,000",,1,B,BN,PP
2015,2,2,60,MEJILLONES,141,Huiro negro,"200,000",30,5.5,O,BN,PP
2015,2,2,60,MEJILLONES,142,Huiro palo,"400,000",30,1.1,O,BN,PP
2015,2,2,60,MEJILLONES,141,Huiro negro,"150,000",30,4.4,O,BN,PP
2015,2,2,56,TALTAL,141,Huiro negro,"150,000",30,2,O,BN,PP
2015,2,2,56,TALTAL,451,Lapa negra,"500,000",,0.02,O,BN,PP
2015,2,2,56,TALTAL,142,Huiro palo,"300,000",30,0.2,O,BN,PP
2015,2,2,56,TALTAL,236,Lenguado,"3,500,000",,0.015,B,BN,CHD
2015,2,2,56,TALTAL,226,Cojinoba del norte,"2,000,000",,0.08,B,BN,CHD
2015,2,2,56,TALTAL,227,Congrio colorado,"3,000,000",,0.2,B,BN,CHD
2015,2,2,56,TALTAL,141,Huiro negro,"130,000",30,2,O,BN,PP
2015,2,2,56,TALTAL,142,Huiro palo,"180,000",30,0.3,O,BN,PP
2015,2,2,56,TALTAL,451,Lapa negra,"500,000",,0.019,O,BN,PP
2015,2,2,56,TALTAL,227,Congrio colorado,"3,000,000",,0.04,B,BN,CHD
2015,2,2,56,TALTAL,226,Cojinoba del norte,"2,000,000",,0.07,B,BN,CHD
2015,2,2,50,ANTOFAGASTA,141,Huiro negro,"160,000",30,1,O,BN,PP
2015,2,2,50,ANTOFAGASTA,142,Huiro palo,"250,000",30,1,O,BN,PP
2015,2,2,50,ANTOFAGASTA,141,Huiro negro,"150,000",33,1,O,BN,PP
2015,2,2,50,ANTOFAGASTA,142,Huiro palo,"200,000",30,1,O,BN,PP
2015,2,4,122,COQUIMBO,242,Merluza comun,"1,800,000",,0.34,B,BN,CHD
2015,2,4,122,COQUIMBO,227,Congrio colorado,"3,500,000",,0.213,B,BN,CHD
2015,2,4,122,COQUIMBO,236,Lenguado,"4,200,000",,0.01,B,BN,CHD
2015,2,4,122,COQUIMBO,230,Corvina,"2,500,000",,0.12,B,BN,CHD
2015,2,4,122,COQUIMBO,282,Sierra,"1,700,000",,0.11,B,BN,CHD
2015,2,4,122,COQUIMBO,820,Piure,"1,000,000",,0.01,B,BN,CHD
2015,2,4,122,COQUIMBO,242,Merluza comun,"1,800,000",,0.71,B,BN,CHD
2015,2,5,230,SAN ANTONIO,654,Jaiba marmola,"900,000",,,B,BN,CHD
2015,2,5,230,SAN ANTONIO,242,Merluza comun,"1,000,000",,,B - L,BN,CHD
2015,2,5,230,SAN ANTONIO,229,Congrio negro,"1,900,000",,,B - L,BN,CHD
2015,2,5,230,SAN ANTONIO,236,Lenguado,"5,000,000",,,B,BN,CHD
2015,2,5,230,SAN ANTONIO,282,Sierra,"1,200,000",,,B - L,BN,CHD
2015,2,5,230,SAN ANTONIO,230,Corvina,"2,300,000",,,B,BN,CHD
2015,2,5,230,SAN ANTONIO,217,Bacalao de profundidad,"9,100,000",,,L,BN,CHD
2015,2,5,230,SAN ANTONIO,234,Jurel,"900,000",,,B-L,BN,CHD
2015,2,6,254,BUCALEMU,274,Reineta,"600,000",,0.512,B,BN,CHD
2015,2,6,254,BUCALEMU,242,Merluza comun,"535,714",,0.112,B,BN,CHD
2015,2,6,246,PICHILEMU,242,Merluza comun,"357,142",,2.8,B,BN,CHD
2015,2,7,286,CURANIPE,242,Merluza comun,"231,111",,0.78,B,BN,CHD
2015,2,8,336,SAN VICENTE,644,Picoroco,"450,000",,0.4,B,BN,CHD
2015,2,8,336,SAN VICENTE,820,Piure,"250,000",,0.65,B,BN,CHD
2015,2,8,336,SAN VICENTE,445,Jibia o calamar rojo,"110,000",,8,L,BN,CHD
2015,2,8,336,SAN VICENTE,644,Picoroco,"450,000",,0.3,B,BN,CHD
2015,2,8,336,SAN VICENTE,820,Piure,"250,000",,0.75,B,BN,CHD
2015,2,8,310,TOME,227,Congrio colorado,"2,000,000",,0.06,B,BN,CHD
2015,2,8,310,TOME,444,Huepo o navaja de mar,"700,000",,0.05,B,BN,CHD
2015,2,8,304,DICHATO,425,Cholga,"1,250,000",,0.1,B,BN,CHD
2015,2,8,304,DICHATO,274,Reineta,"800,000",,0.2,B,BN,CHD
2015,2,8,304,DICHATO,230,Corvina,"2,000,000",,0.08,B,BN,CHD
2015,2,8,350,LO ROJAS,655,Jaiba remadora,"820,000",,1,B - L,BN,CHD - PP
2015,2,8,350,LO ROJAS,260,Pejerrey de mar,"260,000",,0.1,,,
2015,2,8,350,LO ROJAS,227,Congrio colorado,"2,700,000",,0.8,B,BN,CHD
2015,2,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,1.6,B - L,BN,CHD-PP
2015,2,8,350,LO ROJAS,444,Huepo o navaja de mar,"960,000",,6.5,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,465,Navajuela,"480,000",,2,,,
2015,2,8,350,LO ROJAS,406,Almeja,"250,000",,0.1,,,
2015,2,8,350,LO ROJAS,213,Blanquillo,"400,000",,0.3,B,BN,CHD
2015,2,8,350,LO ROJAS,407,Taquilla,"80,000",,1,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,230,Corvina,"2,950,000",,0.6,B -L,BN,CHD
2015,2,8,350,LO ROJAS,658,Jaiba reina,"980,000",,0.3,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,820,Piure,"500,000",,0.1,B,BN,CHD
2015,2,8,350,LO ROJAS,653,Jaiba peluda,"940,000",,0.9,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,445,Jibia o calamar rojo,"140,000",,7,L,BN,CHD-PP
2015,2,8,350,LO ROJAS,236,Lenguado,"4,700,000",,0.2,B,BN,CHD
2015,2,8,350,LO ROJAS,274,Reineta,"1,100,000",,2,B -L,BN,CHD-PP
2015,2,8,350,LO ROJAS,655,Jaiba remadora,"820,000",,0.6,B -L,BN,CHD-PP
2015,2,8,350,LO ROJAS,227,Congrio colorado,"2,800,000",,0.2,B,BN,CHD
2015,2,8,350,LO ROJAS,229,Congrio negro,"1,800,000",,0.6,B,BN,CHD
2015,2,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,0.1,B - L,BN,CHD - PP
2015,2,8,350,LO ROJAS,444,Huepo o navaja de mar,"960,000",,7.4,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,465,Navajuela,"480,000",,0.8,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,406,Almeja,"250,000",,0.3,B,BN,CHD
2015,2,8,350,LO ROJAS,213,Blanquillo,"350,000",,0.2,B,BN,CHD
2015,2,8,350,LO ROJAS,407,Taquilla,"80,000",,3,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,242,Merluza comun,"360,000",,2.1,L,BN,CHD-PP
2015,2,8,350,LO ROJAS,230,Corvina,"3,000,000",,0.9,B - L,BN,CHD
2015,2,8,350,LO ROJAS,658,Jaiba reina,"980,000",,0.1,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,820,Piure,"500,000",,0.1,B,BN,CHD
2015,2,8,350,LO ROJAS,653,Jaiba peluda,"940,000",,0.1,B,BN,CHD-PP
2015,2,8,350,LO ROJAS,445,Jibia o calamar rojo,"140,000",,4.8,L,BN,CHD-PP
2015,2,8,350,LO ROJAS,236,Lenguado,"4,700,000",,0.1,B,BN,CHD
2015,2,8,350,LO ROJAS,274,Reineta,"1,250,000",,3.1,B - L,BN,CHD-PP
2015,2,8,374,LEBU,274,Reineta,"600,000",,20,B - L,BN,CHD
2015,2,8,374,LEBU,217,Bacalao de profundidad,"8,500,000",,1,L,BN,PP
2015,2,8,374,LEBU,445,Jibia o calamar rojo,"140,000",,24,B,BN,PP
2015,2,9,388,QUEULE,282,Sierra,"250,000",,1,L,,CHD
2015,2,9,388,QUEULE,230,Corvina,"1,500,000",,1,L,,CHD
2015,2,9,388,QUEULE,258,Pejegallo,"600,000",,1,L,,CHD
2015,2,9,388,QUEULE,274,Reineta,"600,000",,1,L,,CHD
2015,2,9,388,QUEULE,242,Merluza comun,"450,000",,1,L,,CHD
2015,2,10,573,LA VEGA,244,Merluza del sur,"1,000,000",,0.8,B,BN,CHD
2015,2,10,573,LA VEGA,244,Merluza del sur,"1,000,000",,6,L,BN,CHD
2015,2,10,474,DALCAHUE,654,Jaiba marmola,"220,000",,0.23,L,BN,PP
2015,2,10,474,DALCAHUE,258,Pejegallo,"450,000",,0.104,L,BN,CHD
