PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Caleta,Nom_caleta,Especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2008,1,XII,536,PTO. NATALES,430,Chorito,"80,000",,1.400,B,BN,CHD,,,
2008,1,XIV,412,NIEBLA,227,Congrio colorado,"1,400,000",,0.100,B,BN,CHD,,,
2008,1,XIV,412,NIEBLA,230,Corvina,"1,500,000",,0.180,B,BN,CHD,,,
2008,1,XIV,412,NIEBLA,258,Pejegallo,"700,000",,0.080,B,,CHD,,,
2008,1,XIV,412,NIEBLA,406,Almeja,"300,000",,0.330,B,AM,CHD,,,
2008,1,XIV,412,NIEBLA,425,Cholga,"300,000",,0.070,B,AM,CHD,,,
2008,1,XIV,412,NIEBLA,430,Chorito,"400,000",,0.350,B,AM,CHD,,,
2008,1,XIV,412,NIEBLA,435,Choro,"350,000",,0.400,B,AM,CHD,,,
2008,1,XIV,412,NIEBLA,465,Navajuela,"300,000",,0.060,B,AM,CHD,,,
2008,1,XIV,412,NIEBLA,227,Congrio colorado,"2,000,000",,0.200,B,BN,PP,,,
2008,1,XIV,412,NIEBLA,242,Merluza común,"1,500,000",,0.250,B,,PP,,,
2008,1,XIV,412,NIEBLA,270,Róbalo,"1,500,000",,0.150,B,,PP,,,
2008,1,XIV,412,NIEBLA,406,Almeja,"400,000",,0.120,B,BN,PP,,,
2008,1,XIV,412,NIEBLA,430,Chorito,"250,000",,0.300,B,BN,PP,,,
2008,1,XIV,412,NIEBLA,435,Choro,"250,000",,0.300,B,BN,PP,,,
2008,1,XIV,412,NIEBLA,465,Navajuela,"700,000",,0.030,B,BN,PP,,,
2008,1,XIV,410,LOS MOLINOS,228,Congrio dorado,"1,800,000",,0.300,O,,CHD,,,
2008,1,XIV,410,LOS MOLINOS,230,Corvina,"1,400,000",,0.600,O,,CHD,,,
2008,1,XIV,410,LOS MOLINOS,406,Almeja,"400,000",,1.700,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,430,Chorito,"250,000",,2.000,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,435,Choro,"150,000",,1.500,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,465,Navajuela,"350,000",,0.500,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,227,Congrio colorado,"1,500,000",,0.350,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,242,Merluza común,"1,000,000",,0.300,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,274,Reineta,"900,000",,0.200,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,270,Róbalo,"600,000",,0.125,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,406,Almeja,"450,000",,0.080,O,BN,CHD,,,
