PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
AÑO,MES,REGIÓN,CALETA,Nom_caleta,ESPECIE,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2010,1,X,474,DALCAHUE,135,Luga negra,"120,000",40 - 50,2.000,L,,PP,
2010,1,X,474,DALCAHUE,465,Navajuela,"350,000",,1.200,L,BN,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,4.500,L,,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,5.000,L,,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,4.500,L,,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,6.000,L,,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,5.500,L,,PP,
2010,1,X,474,DALCAHUE,135,Luga - luga,"103,000",40 - 50,1.990,L,,PP,
2010,1,X,474,DALCAHUE,135,Luga - luga,"103,000",41 - 50,1.900,L,,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,0.300,L,,PP,
2010,1,X,474,DALCAHUE,465,Navajuela,"350,000",,0.900,L,BN,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"170,000",,6.000,L,BN,PP,
2010,1,X,474,DALCAHUE,465,Navajuela,"380,000",,1.500,L,BN,PP,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,1.600,L,BN,CHD,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,1.500,B,BN,CHD,
2010,1,X,474,DALCAHUE,406,Almeja,"140,000",,5.000,L,BN,PP,
2010,1,X,474,DALCAHUE,258,Pejegallo,"150,000",,1.500,L,BN,CHD,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,0.300,L,BN,CHD,
2010,1,X,474,DALCAHUE,135,Luga - luga,"120,000",40 - 50,3.200,L,BN,PP,
2010,1,X,474,DALCAHUE,460,Macha,"80,000",,3.000,O,BN,PP,
2010,1,X,474,DALCAHUE,258,Pejegallo,"500,000",,0.400,L,BN,CHD,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,0.800,L,BN,CHD,
2010,1,X,474,DALCAHUE,228,Congrio dorado,"500,000",,0.200,B,BN,CHD,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,5.700,L,BN,PP,
2010,1,X,474,DALCAHUE,258,Pejegallo,"500,000",,1.100,L,BN,CHD,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,4.600,L,BN,CHD,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,3.200,L,BN,PP,
2010,1,X,474,DALCAHUE,406,Almeja,"140,000",,13.000,L,BN,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,1.000,L,BN,PP,
2010,1,XI,514,PTO. AYSÉN,244,Merluza del sur,"900,000",,8.500,B,,CHD,
2010,1,XI,514,PTO. AYSÉN,228,Congrio dorado,"800,000",,1.200,B,,CHD,
2010,1,XI,514,PTO. AYSÉN,244,Merluza del sur,"900,000",,8.500,B,,CHD,
2010,1,XI,514,PTO. AYSÉN,228,Congrio dorado,"800,000",,1.700,B,,CHD,
2010,1,XI,514,PTO. AYSÉN,244,Merluza del sur,"850,000",,,,,,
