PRECIOS DE PRIMERA TRANSACCIîN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2017,,,,,,,,,,,,
,,,,,,,,,,,,
A„O,MES,REGIîN,C—digo Caleta,Nom_caleta,C—digo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2017,1,3,78,HUASCO,141,Chasc—n o huiro negro,"340,000",35,517,O,BN,PP
2017,1,3,78,HUASCO,142,Huiro palo,"120,000",30,2.85,O,BN,PP
2017,1,3,78,HUASCO,145,Huiro,"80,000",80,1,O,BN,PP
2017,1,3,74,CHA„ARAL,258,Pejegallo,"2,000,000",,0.43,B,BN,PP
2017,1,3,74,CHA„ARAL,211,Azulejo,"2,000,000",,0.14,L,BN,CHD
2017,1,3,74,CHA„ARAL,213,Blanquillo,"2,000,000",,0.07,L,BN,CHD
2017,1,3,74,CHA„ARAL,218,Caballa,"2,000,000",,0.16,L,BN,CHD
2017,1,3,74,CHA„ARAL,219,Cabinza,"1,000,000",,0.02,L,BN,CHD
2017,1,3,74,CHA„ARAL,220,Cabrilla,"2,000,000",,0.42,L,BN,CHD
2017,1,3,74,CHA„ARAL,221,Cabrilla comœn,"2,500,000",,0.3,L,BN,CHD
2017,1,3,74,CHA„ARAL,226,Cojinoba del norte,"2,500,000",,0.3,L,BN,CHD
2017,1,3,74,CHA„ARAL,230,Corvina,"3,000,000",,1.39,L,BN,CHD
2017,1,3,74,CHA„ARAL,227,Congrio colorado,"4,000,000",,1.45,L,BN,CHD
2017,1,3,74,CHA„ARAL,229,Congrio negro,"3,000,000",,0.15,L,BN,CHD
2017,1,3,74,CHA„ARAL,230,Corvina,"2,500,000",,0.03,L,BN,CHD
2017,1,3,74,CHA„ARAL,231,Dorado de altura,"2,500,000",,5.54,L,BN,CHD
2017,1,3,74,CHA„ARAL,141,Chasc—n o huiro negro,"200,000",35,2.1,L,AM,PP
2017,1,3,74,CHA„ARAL,234,Jurel,"2,500,000",,0.1,L,BN,PP
2017,1,3,74,CHA„ARAL,236,Lenguado de ojos chicos,"4,500,000",,0.39,L,BN,PP
2017,1,3,74,CHA„ARAL,262,Pejeperro,"2,500,000",,0.01,B,BN,PP
2017,1,3,74,CHA„ARAL,273,Rollizo,"2,000,000",,0.14,B,BN,PP
2017,1,3,74,CHA„ARAL,282,Sierra,"1,000,000",,0.08,B,BN,PP
2017,1,3,74,CHA„ARAL,284,Tibur—n o marrajo,"2,000,000",,0.33,L,BN,PP
2017,1,3,74,CHA„ARAL,286,Tollo,"1,300,000",,0.24,L,BN,PP
2017,1,3,74,CHA„ARAL,252,Vieja o mulata,"4,000,000",,0.02,L,BN,PP
2017,1,5,230,SAN ANTONIO,242,Merluza comœn,"1,150,000",,,B,BN,CH
2017,1,5,230,SAN ANTONIO,135,Luga luga,"400,000",25,,O,BN,PP
2017,1,5,230,SAN ANTONIO,145,Huiro,"170,000",35,,O,BN,PP
2017,1,5,230,SAN ANTONIO,141,Chasc—n o huiro negro,"300,000",25,,O,BN,PP
2017,1,5,230,SAN ANTONIO,110,Cochayuyo,"400,000",25,,O,BN,PP
2017,1,5,230,SAN ANTONIO,445,Jibia o calamar rojo,"200,000",,,B,BN,CHD
2017,1,5,230,SAN ANTONIO,651,Jaiba lim—n,"900,000",,,B,BN,CHD
2017,1,7,268,DUAO,258,Pejegallo,"1,300,000",,,B,BN,CHD
