PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2014,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2014,1,8,350,LO ROJAS,654,Jaiba marmola,"670,000",,1.45,B,BN,CHD-PP
2014,1,8,350,LO ROJAS,260,Pejerrey de mar,"490,000",,0.55,B - L,BN,CHD-PP
2014,1,8,350,LO ROJAS,227,Congrio colorado,"2,190,000",,0.63,B,BN,CHD
2014,1,8,350,LO ROJAS,229,Congrio negro,"1,610,000",,0.73,B,BN,CHD
2014,1,8,350,LO ROJAS,465,Navajuela,"580,000",,6,B,BN,PP
2014,1,8,350,LO ROJAS,444,Huepo o navaja de mar,"750,000",,5.3,B,BN,PP
2014,1,8,350,LO ROJAS,242,Merluza común,"1,210,000",,0.89,L,BN,CHD
2014,1,8,350,LO ROJAS,234,Jurel,"560,000",,3.1,L,BN,CHD
2014,1,8,350,LO ROJAS,282,Sierra,"780,000",,0.88,,,
2014,1,8,350,LO ROJAS,213,Blanquillo,"510,000",,0.89,B,BN,CHD
2014,1,8,350,LO ROJAS,230,Corvina,"1,860,000",,0.34,L,BN,CHD
2014,1,8,350,LO ROJAS,407,Taquilla,"120,000",,6.3,B,BN,PP
2014,1,8,350,LO ROJAS,258,Pejegallo,"790,000",,0.48,B - L,BN,CHD
2014,1,8,350,LO ROJAS,406,Almeja,"650,000",,0.52,B,BN,CHD
2014,1,8,350,LO ROJAS,658,Jaiba reina,"680,000",,1.1,B,BN,CHD - PP
2014,1,8,350,LO ROJAS,425,Cholga,"570,000",,0.54,B,BN,CHD
2014,1,8,350,LO ROJAS,653,Jaiba peluda ,"730,000",,1.21,B,BN,CHD- PP
2014,1,8,350,LO ROJAS,655,Jaiba remadora,"620,000",,1.78,B,BN,CHD - PP
2014,1,8,350,LO ROJAS,820,Piure,"590,000",,1.12,B,BN,CHD
2014,1,8,350,LO ROJAS,236,Lenguado de ojos chicos,"1,570,000",,0.31,B - L,BN,CHD
2014,1,8,336,LEBU,445,Jibia o calamar rojo,"115,000",,19,B,BN,PP
2014,1,8,336,LEBU,274,Reineta,"300,000",,37,L,BN,CHD
2014,1,14,412,NIEBLA,238,Lisa,"1,300,000",,0.05,B,,CHD
2014,1,14,412,NIEBLA,274,Reineta,"200,000",,2,L,,
2014,1,14,578,BONIFACIO,230,Corvina,"2,000,000",,0.08,B,BN,CHD
2014,1,14,578,BONIFACIO,810,Erizo,"250,000",,0.2,B,AM,PP
2014,1,14,578,BONIFACIO,450,Lapa,"650,000",,0.2,B,BN,CHD
2014,1,14,578,BONIFACIO,820,Piure,"200,000",,0.5,B,BN,CHD
2014,1,14,578,BONIFACIO,138,Luga cuchara o corta,"600,000",30,0.5,B,BN,PP
