PRECIOS DE PRIMERA TRANSACCI”N ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
AãO,MES,REGI”N,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2016,1,10,474,DALCAHUE,282,Sierra,"800,000",,0.8,L,BN,CHD,
2016,1,11,514,PUERTO AYSEN,406,Almeja,"400,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,486,Pulpo del sur,"900,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,267,Puye,"8,500,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,425,Cholga,"140,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,430,Chorito,"140,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,270,Robalo,"700,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,440,Culengue,"250,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,244,Merluza del sur,"1,000,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,228,Congrio dorado,"1,300,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,268,Raya volantin,"900,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,275,Sardina austral o del sur,"50,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,654,Jaiba marmola,"170,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,616,Centolla,"2,400,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,137,Luga negra o crespa,"160,000",35,,L,,PP,
2016,1,11,514,PUERTO AYSEN,136,Lucha cuchara o corta,"290,000",35,,L,,PP,
2016,1,11,514,PUERTO AYSEN,810,Erizo,"210,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,406,Almeja,"400,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,486,Pulpo del sur,"900,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,267,Puye,"8,500,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,425,Cholga,"140,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,430,Chorito,"140,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,270,Robalo,"700,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,440,Culengue,"250,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,244,Merluza del sur,"1,000,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,228,Congrio dorado,"1,300,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,268,Raya volantin,"1,000,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,275,Sardina austral o del sur,"50,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,654,Jaiba marmola,"170,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,616,Centolla,"2,400,000",,,L,,PP,
2016,1,11,514,PUERTO AYSEN,137,Luga negra o crespa,"160,000",35,,L,,PP,
2016,1,11,514,PUERTO AYSEN,136,Lucha cuchara o corta,"290,000",35,,L,,PP,
2016,1,11,514,PUERTO AYSEN,810,Erizo,"210,000",,,L,,PP,
2016,1,12,534,PUNTA ARENAS,444,Huepo o navaja de mar,"600,000",,1.84,O,BN,PP,
2016,1,12,534,,444,Huepo o navaja de mar,"600,000",,3.24,O,BN,PP,
2016,1,12,536,PUERTO NATALES,228,Congrio dorado,"600,000",,2.6,B,BN,PP,
2016,2,15,4,ARICA,254,Palometa,"1,500,000",,0.05,B,BN,CHD,
2016,2,15,4,ARICA,435,Choro,"1,000,000",,0.02,B,BN,CHD,
2016,2,15,4,ARICA,451,Lapa negra,"1,500,000",,0.02,B,BN,CHD,
2016,2,15,4,ARICA,254,Palometa,"1,500,000",,0.08,B,BN,CHD,
2016,2,15,4,ARICA,820,Piure,"700,000",,0.06,B,BN,CHD,
2016,2,15,4,ARICA,406,Almeja,"1,000,000",,0.01,B,BN,CHD,
2016,2,15,4,ARICA,435,Choro,"1,500,000",,0.03,B,BN,CHD,
2016,2,15,4,ARICA,280,Sargo,"2,500,000",,0.01,B,BN,CHD,
2016,2,1,8,RIQUELME,284,Tiburon o marrajo,"2,500,000",,0.081,L,BN,CHD,
2016,2,1,10,CAVANCHA,231,Dorado,"1,300,000",,2.1,L,BN,CHD,
2016,2,1,10,CAVANCHA,221,Cabrilla comun,"1,500,000",,0.1,B,BN,CHD,
2016,2,1,10,CAVANCHA,231,Dorado,"1,300,000",,0.8,L,BN,CHD,
2016,2,1,10,CAVANCHA,211,Azulejo,"800,000",,0.1,L,BN,CHD,
2016,2,2,46,TOCOPILLA,451,Lapa negra,"800,000",,0.34,O,BN,PP,
2016,2,2,46,TOCOPILLA,231,Dorado,"2,200,000",,0.1,L,BN,CHD,
2016,2,2,46,TOCOPILLA,221,Cabrilla comun,"1,000,000",,0.6,L,BN,CHD,
2016,2,2,46,TOCOPILLA,214,Bonito,"850,000",,0.16,L,BN,CHD,
2016,2,2,46,TOCOPILLA,141,Chascon o huiro negro,"200,000",46,9.02,O,BN,PP,
2016,2,2,46,TOCOPILLA,142,Huiro palo,"32,000",53,5.63,O,BN,PP,
2016,2,2,46,TOCOPILLA,145,Huiro palo,"100,000",50,10.9,O,BN,PP,
2016,2,2,60,MEJILLONES,221,Cabrilla comun,"1,100,000",,1,O,BN,CHD,
2016,2,2,60,MEJILLONES,141,Chascon o huiro negro,"110,000",46,1,O,BN,PP,
2016,2,2,60,MEJILLONES,142,Huiro palo,"180,000",53,1,O,BN,PP,
2016,2,2,60,MEJILLONES,142,Huiro palo,"180,000",53,1,O,BN,PP,
2016,2,2,60,MEJILLONES,130,Pelillo,"80,000",35,1,O,BN,PP,
2016,2,2,60,MEJILLONES,142,Huiro palo,"180,000",53,1,O,BN,PP,
2016,2,2,60,MEJILLONES,141,Chascon o huiro negro,"110,000",46,1,O,BN,PP,
2016,2,2,60,MEJILLONES,130,Pelillo,"85,000",35,1,O,BN,PP,
2016,2,2,56,TALTAL,141,Chascon o huiro negro,"240,000",46,1,O,BN,PP,
2016,2,2,56,TALTAL,142,Huiro palo,"310,000",53,1,O,BN,PP,
